scientific_name,common_name,group,transmitter_id,tag_id,num_det,days_det,num_stat,DI,mcp,bbk50,bbk95,BodyLength_mm,sex,ReleaseDate,release_latitude,release_longitude,tag_project_name,IUCN,mass.g,dis_min,dis_25,dis_50,dis_75,dis_max,dis_mean,dis_sd,Habitat,Trophic.group,comment
Brachaelurus waddi,Blind Shark,shark,A69-9001-26969,78228522,3,1,1,0.007352941,,,,,MALE,2013-10-31,-33.853,151.2887,NSW DPI (Artificial Reef Network),LC,,0,0,0,0,0.291836644,0.029183664,0.09228685,B,Omnivore,
Brachaelurus waddi,Blind Shark,shark,A69-1303-47540,77523760,3,1,1,0.00310559,,,,,MALE,2013-02-05,-33.853,151.2887,NSW DPI (Artificial Reef Network),LC,,0,0,0,0,0.291836644,0.011673466,0.058367329,B,Omnivore,
Brachaelurus waddi,Blind Shark,shark,A69-9001-31818,117605887,3,1,3,0.010309278,,,,,MALE,2015-03-10,-33.853,151.2887,NSW DPI (Artificial Reef Network),LC,,0,0.144596476,0.578385903,1.845971029,5.8541281,1.546566552,2.268689369,B,Omnivore,
Brachaelurus waddi,Blind Shark,shark,A69-1303-9538,117605927,30,6,3,0.024590164,,,,,MALE,2015-03-10,-33.853,151.2887,NSW DPI (Artificial Reef Network),LC,,0,0,0,0,2.823165008,0.110897796,0.459988242,B,Omnivore,
Brachaelurus waddi,Blind Shark,shark,A69-9001-26971,113441851,20,3,2,0.004784689,,,,660,FEMALE,2015-01-01,-33.8466,151.291,NSW DPI (Artificial Reef Network),LC,1848.956442,0,0,0,0.480253017,1.422607656,0.191375151,0.336817338,B,Omnivore,
Brachaelurus waddi,Blind Shark,shark,A69-9001-26970,78228512,31,4,2,0.007462687,,,,,FEMALE,2013-10-31,-33.853,151.2887,NSW DPI (Artificial Reef Network),LC,,0,0,0,0,0.960051265,0.03209969,0.159496069,B,Omnivore,
Brachaelurus waddi,Blind Shark,shark,A69-1303-47527,78228481,32,6,5,0.030456853,,,,,MALE,2013-07-24,-33.853,151.2887,NSW DPI (Artificial Reef Network),LC,,0,0,0,0,13.97779422,0.465364924,2.100352841,B,Omnivore,
Brachaelurus waddi,Blind Shark,shark,A69-1303-9543,117605914,4,1,1,0.005154639,,,,,MALE,2015-03-10,-33.853,151.2887,NSW DPI (Artificial Reef Network),LC,,0,0,0,0,1.739491143,0.193276794,0.579830381,B,Omnivore,
Brachaelurus waddi,Blind Shark,shark,A69-9001-26967,78228503,3,1,1,0.002785515,,,,,MALE,2013-10-30,-33.853,151.2887,NSW DPI (Artificial Reef Network),LC,,0,0,0,0,1.739491143,0.062124684,0.328732927,B,Omnivore,
Callorhinchus milii,Elephantfish,shark,A69-1206-3145,5354115,120,8,3,0.0064,,,,880,FEMALE,2008-11-13,-42.8664,147.3445,Seven Gill tracking in Coastal Tasmania,LC,4863.198451,0,0,0,0,22.48647553,0.315230373,2.309549765,B,Omnivore,
Callorhinchus milii,Elephantfish,shark,A69-1303-33163,110520861,27,2,4,0.011904762,,,,705,MALE,2013-02-20,-42.8041,147.5021,Chondrichthyan monitoring of south-east Australia,LC,2434.927866,0,0,0,0.401364049,59.85717932,2.425269101,11.48557624,B,Omnivore,
Callorhinchus milii,Elephantfish,shark,A69-1303-33167,110520797,204,10,10,0.008976661,,,,670,MALE,2013-01-27,-42.8041,147.5021,Chondrichthyan monitoring of south-east Australia,LC,2077.253213,0,0,0,0,246.8425426,2.936370097,24.58274687,B,Omnivore,
