animal_project_reference,datacenter_reference,animal_reference_id,animal_guid,vernacularname,scientificname,taxonrank,aphiaid,tsn,animal_origin,stock,length,length_type,weight,life_stage,age,sex
FRO,OTN-Global,FRO-T14,OTN-GlobalFROFRO-T14,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.561,FORK,2.35,,NaN,U
FRO,OTN-Global,FRO-T2,OTN-GlobalFROFRO-T2,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.576,FORK,2.53,,NaN,U
FRO,OTN-Global,FRO-T25,OTN-GlobalFROFRO-T25,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.57,FORK,2.41,,NaN,U
FRO,OTN-Global,FRO-T26,OTN-GlobalFROFRO-T26,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.6,FORK,2.8,,NaN,U
FRO,OTN-Global,FRO-T27,OTN-GlobalFROFRO-T27,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.55,FORK,2.17,,NaN,U
FRO,OTN-Global,FRO-T28,OTN-GlobalFROFRO-T28,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.49,FORK,1.55,,NaN,U
FRO,OTN-Global,FRO-T29,OTN-GlobalFROFRO-T29,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.45,FORK,1.24,,NaN,U
FRO,OTN-Global,FRO-T5,OTN-GlobalFROFRO-T5,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.521,FORK,1.89,,NaN,U
FRO,OTN-Global,FRO-T1,OTN-GlobalFROFRO-T1,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.556,FORK,2.29,,NaN,U
FRO,OTN-Global,FRO-T41,OTN-GlobalFROFRO-T41,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.54,FORK,2.15,,NaN,U
FRO,OTN-Global,FRO-T8,OTN-GlobalFROFRO-T8,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.588,FORK,2.69,,NaN,U
FRO,OTN-Global,FRO-T7,OTN-GlobalFROFRO-T7,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.64,FORK,3.44,,NaN,U
FRO,OTN-Global,FRO-T4,OTN-GlobalFROFRO-T4,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.54,FORK,2.1,,NaN,U
FRO,OTN-Global,FRO-T6,OTN-GlobalFROFRO-T6,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.612,FORK,3.02,,NaN,U
FRO,OTN-Global,FRO-T9,OTN-GlobalFROFRO-T9,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.6,FORK,2.85,,NaN,U
FRO,OTN-Global,FRO-T10,OTN-GlobalFROFRO-T10,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.544,FORK,2.15,,NaN,U
FRO,OTN-Global,FRO-T13,OTN-GlobalFROFRO-T13,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.586,FORK,2.66,,NaN,U
FRO,OTN-Global,FRO-T11,OTN-GlobalFROFRO-T11,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.596,FORK,2.8,,NaN,U
FRO,OTN-Global,FRO-T12,OTN-GlobalFROFRO-T12,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.54,FORK,2.1,,NaN,U
FRO,OTN-Global,FRO-T33,OTN-GlobalFROFRO-T33,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.53,FORK,1.97,,NaN,U
FRO,OTN-Global,FRO-T31,OTN-GlobalFROFRO-T31,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.53,FORK,1.99,,NaN,U
FRO,OTN-Global,FRO-T32,OTN-GlobalFROFRO-T32,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.57,FORK,2.41,,NaN,U
FRO,OTN-Global,FRO-T16,OTN-GlobalFROFRO-T16,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.554,FORK,2.26,,NaN,U
FRO,OTN-Global,FRO-T35,OTN-GlobalFROFRO-T35,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.31,FORK,0.4,,NaN,U
FRO,OTN-Global,FRO-T30,OTN-GlobalFROFRO-T30,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.36,FORK,0.66,,NaN,U
FRO,OTN-Global,FRO-T34,OTN-GlobalFROFRO-T34,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.33,FORK,0.5,,NaN,U
FRO,OTN-Global,FRO-T37,OTN-GlobalFROFRO-T37,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.31,FORK,0.43,,NaN,U
FRO,OTN-Global,FRO-T36,OTN-GlobalFROFRO-T36,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.32,FORK,0.46,,NaN,U
FRO,OTN-Global,FRO-T18,OTN-GlobalFROFRO-T18,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.519,FORK,1.87,,NaN,U
FRO,OTN-Global,FRO-T17,OTN-GlobalFROFRO-T17,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.556,FORK,2.29,,NaN,U
FRO,OTN-Global,FRO-T19,OTN-GlobalFROFRO-T19,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.634,FORK,3.34,,NaN,U
FRO,OTN-Global,FRO-T20,OTN-GlobalFROFRO-T20,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.585,FORK,2.65,,NaN,U
FRO,OTN-Global,FRO-T15,OTN-GlobalFROFRO-T15,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.569,FORK,2.44,,NaN,U
FRO,OTN-Global,FRO-T24,OTN-GlobalFROFRO-T24,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.57,FORK,2.48,,NaN,U
FRO,OTN-Global,FRO-T22,OTN-GlobalFROFRO-T22,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.646,FORK,3.53,,NaN,U
FRO,OTN-Global,FRO-T21,OTN-GlobalFROFRO-T21,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.61,FORK,2.99,,NaN,U
FRO,OTN-Global,FRO-T23,OTN-GlobalFROFRO-T23,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.58,FORK,2.58,,NaN,U
FRO,OTN-Global,FRO-T42,OTN-GlobalFROFRO-T42,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.6,FORK,1.91,,NaN,U
FRO,OTN-Global,FRO-T43,OTN-GlobalFROFRO-T43,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.278,FORK,0.12,,NaN,U
FRO,OTN-Global,FRO-T44,OTN-GlobalFROFRO-T44,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.492,FORK,1.0,,NaN,U
FRO,OTN-Global,FRO-T45,OTN-GlobalFROFRO-T45,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.329,FORK,0.31,,NaN,U
FRO,OTN-Global,FRO-T46,OTN-GlobalFROFRO-T46,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.714,FORK,3.82,,NaN,U
FRO,OTN-Global,FRO-T47,OTN-GlobalFROFRO-T47,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.6,FORK,2.2,,NaN,U
FRO,OTN-Global,FRO-T48,OTN-GlobalFROFRO-T48,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.567,FORK,1.84,,NaN,U
FRO,OTN-Global,FRO-T49,OTN-GlobalFROFRO-T49,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.619,FORK,2.43,,NaN,U
FRO,OTN-Global,FRO-T50,OTN-GlobalFROFRO-T50,Arctic char,Salvelinus alpinus,,127188,162001,W,UNK,0.534,FORK,1.52,,NaN,U
