deployment_project_reference,datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,frequencies_monitored,receiver_coding_scheme,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id,bottom_depth,depth,deployment_comments,deployed_by,expected_receiver_life
,,,,,,,,,degrees_north,degrees_east,UTC,UTC,,,,m,m,,,
ACS,OTN-Global,ACS-SC1-1115765-1,OTN-GlobalACSACS-SC1-1115765-1,VEMCO,VMT,,,1115765,65.4777,-65.8898,2011-07-23T15:31:30Z,2012-08-25T17:12:00Z,ACS,ManmadePlatform,ACS_ACS-SC1,1500.0,1316.0,,,NaN
ACS,OTN-Global,ACS-SC3-1115767-1,OTN-GlobalACSACS-SC3-1115767-1,VEMCO,VMT,,,1115767,65.4646,-65.971,2011-07-23T16:16:20Z,2012-08-25T19:24:00Z,ACS,ManmadePlatform,ACS_ACS-SC3,1500.0,1316.0,,,NaN
ACS,OTN-Global,ACS025-VR2W-110159-1,OTN-GlobalACSACS025-VR2W-110159-1,VEMCO,VR2W,,,110159,65.95117,-66.35183,2010-08-16T12:25:00Z,2011-07-12T20:32:00Z,ACS,ManmadePlatform,ACS_ACS025,316.0,309.2,,,NaN
ACS,OTN-Global,ACS-SC2-1115768-1,OTN-GlobalACSACS-SC2-1115768-1,VEMCO,VMT,,,1115768,65.4712,-65.9307,2011-07-23T15:55:20Z,2012-08-25T18:48:00Z,ACS,ManmadePlatform,ACS_ACS-SC2,1500.0,1316.0,,,NaN
ACS,OTN-Global,ACS-SA3-1115771-1,OTN-GlobalACSACS-SA3-1115771-1,VEMCO,VMT,,,1115771,65.8145,-66.2198,2011-07-23T12:35:45Z,2012-08-31T17:14:00Z,ACS,ManmadePlatform,ACS_ACS-SA3,914.0,730.0,,,NaN
ACS,OTN-Global,ACS-SD1-VR2W-69-113621-1,OTN-GlobalACSACS-SD1-VR2W-69-113621-1,VEMCO,VR2W-69,,,VR2W-113621,65.3415,-65.7868,2011-07-23T17:34:00Z,2012-08-26T15:47:00Z,ACS,ManmadePlatform,ACS_ACS-SD1,1500.0,1316.0,,,NaN
ACS,OTN-Global,ACS-SD1-1115770-1,OTN-GlobalACSACS-SD1-1115770-1,VEMCO,VMT,,,1115770,65.3415,-65.7868,2011-07-23T17:34:00Z,2012-08-26T15:47:00Z,ACS,ManmadePlatform,ACS_ACS-SD1,1500.0,1316.0,,,NaN
ACS,OTN-Global,ACS-SD2-1115777-1,OTN-GlobalACSACS-SD2-1115777-1,VEMCO,VMT,,,1115777,65.3492,-65.7479,2011-07-23T17:52:30Z,2012-08-26T16:27:00Z,ACS,ManmadePlatform,ACS_ACS-SD2,1500.0,1316.0,,,NaN
ACS,OTN-Global,ACS025-RBR TR-1050-09140-1,OTN-GlobalACSACS025-RBR TR-1050-09140-1,RBR,RBR TR-1050,,,09140,65.95117,-66.35183,2010-08-16T12:25:00Z,2011-07-12T20:32:00Z,ACS,ManmadePlatform,ACS_ACS025,316.0,309.2,,,NaN
ACS,OTN-Global,ACS-SD3-1115774-1,OTN-GlobalACSACS-SD3-1115774-1,VEMCO,VMT,,,1115774,65.3568,-65.7087,2011-07-23T18:11:00Z,2012-08-26T17:09:00Z,ACS,ManmadePlatform,ACS_ACS-SD3,1500.0,1316.0,,,NaN
ACS,OTN-Global,ACS-SE1-1115775-1,OTN-GlobalACSACS-SE1-1115775-1,VEMCO,VMT,,,1115775,65.23,-65.5544,2011-07-23T19:23:00Z,2012-08-26T20:01:00Z,ACS,ManmadePlatform,ACS_ACS-SE1,1020.0,836.0,,,NaN
