G.species,Length_cm,body.mass.kg,sex,tag_id,tag_project_name,tag.type,num_det,days_det,num_stations,DI,ReleaseDate,release_latitude,release_longitude,days.at.liberty,mcp,bbk50,bbk95,dis_min,dis_25,dis_50,dis_75,dis_max,dis_mean,dis_sd,Habitat,Trophic.group,Trophic.group2,subclass,superorder,order,family,Genus,species,IUCN_Scientific_name,size.at.mat,max.size,pup.size,length.weight.a,length.weight.b,habitat,habitat2,min.depth,max.depth,median.depth,range.depth,min.lat,max.lat,range.lat,area,age.mat,max.age,k,bearing.mode,trophic.mode,repro.coarse,mode,breeding.interval,development,litter.size,median.ED,Red.List.status.new,ecomorpho.compagno,ecomorphotype,lifestyle,ecomorph.life
Dasyatis_brevicaudata,123,23.61882131,F,110520295,Chondrichthyan monitoring of south-east Australia,PassAcoustic,0,0,1,0,12/9/12,-42.8041,147.4985,NA,NA,NA,NA,0,0,0,28.90806845,57.81613691,19.27204564,33.38016221,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_brevicaudata,Dasyatis brevicaudata,NA,210,36,0.0739,2.81,Deep,Deepwater,156,480,318,324,-47.28432308,-22.15588039,25.12844269,1240900,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,8,24.78498615,LC,rajobenthic,rajobenthic,benthic,DB
Dasyatis_brevicaudata,82,6.885584192,F,110520275,Chondrichthyan monitoring of south-east Australia,PassAcoustic,27,6,5,0.001643836,12/3/12,-42.7979,147.5003,3649.999148,NA,NA,NA,0,0,0,0,69.90325442,5.007768773,14.21596616,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_brevicaudata,Dasyatis brevicaudata,NA,210,36,0.0739,2.81,Deep,Deepwater,156,480,318,324,-47.28432308,-22.15588039,25.12844269,1240900,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,8,24.78498615,LC,rajobenthic,rajobenthic,benthic,DB
Dasyatis_brevicaudata,85,7.680335927,F,110520097,Chondrichthyan monitoring of south-east Australia,PassAcoustic,9,2,4,0.003159558,3/6/12,-42.7987,147.5044,632.9999323,NA,NA,NA,0,0,0,0.80359062,762.0987451,166.0237261,329.0827292,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_brevicaudata,Dasyatis brevicaudata,NA,210,36,0.0739,2.81,Deep,Deepwater,156,480,318,324,-47.28432308,-22.15588039,25.12844269,1240900,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,8,24.78498615,LC,rajobenthic,rajobenthic,benthic,DB
Dasyatis_brevicaudata,49,1.43927163,F,110520749,Chondrichthyan monitoring of south-east Australia,PassAcoustic,69,5,5,0.004065041,12/6/12,-42.8072,147.5003,1229.999894,NA,NA,NA,0,0,0,0,63.6993908,1.162539266,7.63638513,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_brevicaudata,Dasyatis brevicaudata,NA,210,36,0.0739,2.81,Deep,Deepwater,156,480,318,324,-47.28432308,-22.15588039,25.12844269,1240900,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,8,24.78498615,LC,rajobenthic,rajobenthic,benthic,DB
Dasyatis_brevicaudata,91,9.450015358,F,110520239,Chondrichthyan monitoring of south-east Australia,PassAcoustic,39,5,5,0.004926108,12/10/12,-42.8041,147.4878,1015.000077,NA,NA,NA,0,0,0,0,59.23054892,2.876405717,10.31532552,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_brevicaudata,Dasyatis brevicaudata,NA,210,36,0.0739,2.81,Deep,Deepwater,156,480,318,324,-47.28432308,-22.15588039,25.12844269,1240900,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,8,24.78498615,LC,rajobenthic,rajobenthic,benthic,DB
Dasyatis_brevicaudata,65,3.397842826,F,110520093,Chondrichthyan monitoring of south-east Australia,PassAcoustic,16,4,6,0.006319115,3/6/12,-42.7987,147.5044,633.0000324,NA,NA,NA,0,0,0,1.405294629,60.12207066,5.777444506,14.67604518,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_brevicaudata,Dasyatis brevicaudata,NA,210,36,0.0739,2.81,Deep,Deepwater,156,480,318,324,-47.28432308,-22.15588039,25.12844269,1240900,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,8,24.78498615,LC,rajobenthic,rajobenthic,benthic,DB
Dasyatis_brevicaudata,79,6.147988397,F,110520299,Chondrichthyan monitoring of south-east Australia,PassAcoustic,107,12,9,0.01025641,12/9/12,-42.8072,147.5003,1170.000029,NA,NA,NA,0,0,0,0,247.738902,9.789332446,46.5087245,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_brevicaudata,Dasyatis brevicaudata,NA,210,36,0.0739,2.81,Deep,Deepwater,156,480,318,324,-47.28432308,-22.15588039,25.12844269,1240900,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,8,24.78498615,LC,rajobenthic,rajobenthic,benthic,DB
Dasyatis_fluviorum,55,2.044792567,F,69918647,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,138,11,8,0.006802721,4/5/13,-35.6869,150.1283,1617.000021,19820603.91,10003893.98,61902005.14,0,0,0,0,5.583079434,0.316196703,0.874077054,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,46,1.187764908,F,69918579,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,198,15,7,0.009276438,1/30/13,-35.6869,150.1283,1616.999973,9470780.845,3619149.102,17698361.62,0,0,0,0,2.374454439,0.191025836,0.499909326,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
Dasyatis_fluviorum,45,1.110996584,F,69918583,NSW DPI Coastal and Estuarine Fish Tracking (CEFT),PassAcoustic,632,18,6,0.011131725,2/28/13,-35.6869,150.1283,1617.000061,2412236.261,326996.7898,2941855.078,0,0,0,0,2.374454439,0.041355783,0.240089962,B,Omnivore,Invertivore,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,rajobenthic,rajobenthic,benthic,LB
