"Source","Country","TagID","Species","Sex","Rel_FL_cm","rel_date","rel_lat","rel_lon","recap_date","recap_lat","recap_lon","recaped","common_name","days","dis"
"WA","Aus","2","Carcharhinus obscurus","F",85,1994-03-22,-33.0092,115.388,1995-02-03,-32.242,115.445,"Y","Carcharhinus obscurus",318,85.2493156032708
"WA","Aus","13","Carcharhinus obscurus","M",71,1994-03-23,-33.035,115.3425,1994-05-08,-33.056,115.304,"Y","Carcharhinus obscurus",46,4.2844159816702
"WA","Aus","14","Carcharhinus obscurus","M",72,1994-03-23,-33.0698,115.3488,1994-08-18,-34.06,114.51,"Y","Carcharhinus obscurus",148,134.639889497797
"WA","Aus","7","Carcharhinus obscurus","F",78,1994-03-23,-33.0351,115.3449,1996-05-13,-33.18,115.57,"Y","Carcharhinus obscurus",782,26.4519708904309
"WA","Aus","9","Carcharhinus obscurus","F",76,1994-03-23,-33.0349,115.3581,1994-04-30,-33.1338,115.0984,"Y","Carcharhinus obscurus",38,26.6122256532237
"WA","Aus","19","Carcharhinus obscurus","F",81,1994-03-24,-33.0514,115.3382,1994-08-14,-32.31,115.23,"Y","Carcharhinus obscurus",143,82.8447164099488
"WA","Aus","16","Carcharhinus obscurus","M",70,1994-03-24,-33.0512,115.3721,1995-04-13,-31.4523,115.3519,"Y","Carcharhinus obscurus",385,177.315298648187
"WA","Aus","22","Carcharhinus obscurus","M",75,1994-03-25,-33.2577,115.2748,1994-05-07,-33.565,115.233,"Y","Carcharhinus obscurus",43,34.304469350399
"WA","Aus","29","Carcharhinus obscurus","M",71,1994-03-26,-33.2962,115.2602,1994-05-14,-33.1975,114.5902,"Y","Carcharhinus obscurus",49,63.390914851496
"WA","Aus","26","Carcharhinus obscurus","M",76,1994-03-26,-33.2956,115.2766,1994-05-02,-33.172,115.043,"Y","Carcharhinus obscurus",37,25.7289009252864
"WA","Aus","27","Carcharhinus obscurus","F",86,1994-03-26,-33.2956,115.2766,1994-03-27,-33.313,115.264,"Y","Carcharhinus obscurus",1,2.25859858732366
"WA","Aus","35","Carcharhinus obscurus","F",77,1994-03-27,-33.3131,115.2414,1996-05-21,-34.3107,115.14,"Y","Carcharhinus obscurus",786,111.051084977282
"WA","Aus","37","Carcharhinus obscurus","M",73,1994-03-27,-33.3128,115.2578,1995-01-18,-33.477,114.507,"Y","Carcharhinus obscurus",297,72.1853087614892
"WA","Aus","32","Carcharhinus obscurus","M",76,1994-03-27,-33.3124,115.2609,1996-10-12,-34.54,115.39,"Y","Carcharhinus obscurus",930,136.689817979819
"WA","Aus","30","Carcharhinus obscurus","M",71,1994-03-27,-33.3115,115.2742,1995-01-19,-31.557,115.392,"Y","Carcharhinus obscurus",298,194.880618410166
"WA","Aus","41","Carcharhinus obscurus","M",73,1994-03-28,-33.329,115.229,1994-08-22,-32.11,115.28,"Y","Carcharhinus obscurus",147,135.271835072595
"WA","Aus","39","Carcharhinus obscurus","F",73,1994-03-28,-33.3298,115.2607,1994-11-14,-32.25,115.3,"Y","Carcharhinus obscurus",231,119.807934225445
"WA","Aus","50","Carcharhinus obscurus","M",74,1994-03-29,-33.3128,115.1842,1994-04-29,-33.1507,115.099,"Y","Carcharhinus obscurus",31,19.6541688264215
"WA","Aus","53","Carcharhinus obscurus","F",86,1994-03-29,-33.3128,115.1842,1995-01-29,-34.2929,115.1875,"Y","Carcharhinus obscurus",306,108.712723444159
"WA","Aus","44","Carcharhinus obscurus","M",73,1994-03-29,-33.3121,115.2195,1994-12-01,-34.02,114.57,"Y","Carcharhinus obscurus",247,98.9622440599491
"WA","Aus","51","Carcharhinus obscurus","M",71,1994-03-29,-33.3121,115.2195,1994-07-15,-33.078,115.23,"Y","Carcharhinus obscurus",108,25.9821690140685
"WA","Aus","61","Carcharhinus obscurus","F",90,1994-03-30,-33.2951,115.1908,1994-05-14,-33.1976,115.0125,"Y","Carcharhinus obscurus",45,19.825072349883
"WA","Aus","59","Carcharhinus obscurus","M",72,1994-03-30,-33.2957,115.2408,1994-05-04,-33.094,115.2551,"Y","Carcharhinus obscurus",35,22.4099793156549
"WA","Aus","66","Carcharhinus obscurus","F",75,1994-03-31,-33.2773,115.2705,1994-05-02,-33.172,115.043,"Y","Carcharhinus obscurus",32,24.2096797490996
"WA","Aus","103","Carcharhinus obscurus","F",79,1994-04-19,-33.08,115.176,1994-04-22,-33.0427,115.3509,"Y","Carcharhinus obscurus",3,16.8493556260274
"WA","Aus","111","Carcharhinus obscurus","M",75,1994-04-21,-33.0298,115.1985,1995-01-18,-33.477,114.507,"Y","Carcharhinus obscurus",272,81.3150827756173
"WA","Aus","117","Carcharhinus obscurus","M",73,1994-04-22,-33.0426,115.365,1994-06-05,-32.577,115.065,"Y","Carcharhinus obscurus",44,58.7845407760064
"WA","Aus","119","Carcharhinus obscurus","M",73,1994-04-22,-33.0427,115.351,1994-07-27,-32.018,115.359,"Y","Carcharhinus obscurus",96,113.638458323278
"WA","Aus","120","Carcharhinus obscurus","F",77,1994-04-22,-33.0427,115.351,1995-08-07,-32.4,114.48,"Y","Carcharhinus obscurus",472,108.38406020073
"WA","Aus","122","Carcharhinus obscurus","M",75,1994-04-22,-33.0427,115.351,1994-06-05,-32.577,115.065,"Y","Carcharhinus obscurus",44,58.1791385943007
"WA","Aus","125","Carcharhinus obscurus","M",77,1994-04-23,-33.0208,115.3538,1994-05-07,-33.5656,115.212,"Y","Carcharhinus obscurus",14,61.8505828060256
"WA","Aus","130","Carcharhinus obscurus","F",87,1994-04-23,-33.0222,115.3091,1995-03-13,-31.3753,115.3242,"Y","Carcharhinus obscurus",324,182.631907675818
"WA","Aus","132","Carcharhinus obscurus","F",85,1994-04-23,-33.0222,115.3091,1994-07-18,-34.3865,115.27,"Y","Carcharhinus obscurus",86,151.368588796446
"WA","Aus","134","Carcharhinus obscurus","F",77,1994-04-23,-33.0222,115.3091,1994-06-13,-32.16,115.27,"Y","Carcharhinus obscurus",51,95.686596809207
"WA","Aus","138","Carcharhinus obscurus","F",77,1994-04-24,-33.2984,115.2641,1994-04-25,-33.283,115.225,"Y","Carcharhinus obscurus",1,4.02260859675182
"WA","Aus","142","Carcharhinus obscurus","F",73,1994-04-25,-33.2823,115.2483,1994-07-26,-34.21,114.5561,"Y","Carcharhinus obscurus",92,121.250464588866
