"","toppID","TOPP.ID","serialNumber","commonName","yearDeployed","project","isDrifter","firstDetectionTime","firstDetectionLong","firstDetectionLat","numberDetections"
"1","1503001","1503001",19566,"Shortfin Mako Shark",2003,1,0,"2003-06-26T09:07:47Z","241.58499","33.608",13
"2","1503003","1503003",18955,"Shortfin Mako Shark",2003,1,0,"2003-07-04T02:50:58Z","242.423","33.024",40
"3","1503004","1503004",25105,"Shortfin Mako Shark",2003,1,0,"2003-07-02T08:13:00Z","240.62799","33.754",37
"4","1503005","1503005",28440,"Shortfin Mako Shark",2003,1,1,"2003-12-28T03:23:33Z","240.77301","32.145",8
"5","1503006","1503006",25106,"Shortfin Mako Shark",2003,1,0,"2003-07-02T03:23:57Z","240.53299","33.984",39
"6","1503007","1503007",25341,"Shortfin Mako Shark",2003,1,1,"2004-04-02T11:26:29Z","232.29901","31.413",7
"7","1503008","1503008",19570,"Shortfin Mako Shark",2003,1,0,"2003-07-04T10:57:21Z","241.219","33.642",36
"8","1503010","1503010",37610,"Shortfin Mako Shark",2003,1,0,"2003-07-07T02:18:30Z","242.097","33.417",16
"9","1503011","1503011",28439,"Shortfin Mako Shark",2003,1,1,"2003-09-09T05:41:32Z","240.929","31.596",7
"10","1504001","1504001",41770,"Shortfin Mako Shark",2004,1,1,"2004-12-21T22:46:59Z","245.093","28.869",5
"11","1504002","1504002",52118,"Shortfin Mako Shark",2004,1,0,"2004-06-29T01:58:28Z","242.15201","33.48",9
"12","1504003","1504003",41774,"Shortfin Mako Shark",2004,1,1,"2005-02-12T06:19:13Z","245.1","22.563",4
"13","1504004","1504004",41681,"Shortfin Mako Shark",2004,1,0,"2004-06-30T20:58:35Z","240.51599","33.894",19
"14","1504005","1504005",52119,"Shortfin Mako Shark",2004,1,0,"2004-07-13T05:52:51Z","242.548","28.37",29
"15","1504006","1504006",52132,"Shortfin Mako Shark",2004,1,0,"2004-07-04T12:51:19Z","241.10199","33.823",23
