"","G.species","Length_cm","body.mass.kg","sex","tag_id","tag_project_name","tag.type","num_det","days_det","num_stations","DI","ReleaseDate","release_latitude","release_longitude","days.at.liberty","dis_min","dis_25","dis_50","dis_75","dis_max","dis_mean","dis_sd","Habitat","Trophic.group","Common.Name","vel_min","vel_25","vel_50","vel_75","vel_max","vel_mean","vel_sd","subclass","superorder","order","family","Genus","species","IUCN_Scientific_name","size.at.mat","max.size","pup.size","length.weight.a","length.weight.b","habitat","habitat2","min.depth","max.depth","median.depth","range.depth","min.lat","max.lat","range.lat","area","age.mat","max.age","k","bearing.mode","trophic.mode","repro.coarse","mode","breeding.interval","development","litter.size","median.ED","Red.List.status.new"
"1","Manta_alfredi",370,64.17017759,"F","60492759","UQ Project Manta east Australia","PassAcoustic",2017,22,6,0.176,NA,-24.1143,152.7087,125,0,0,0,3.05e-05,1.715657089,0.043372084,0.195185485,"P","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Carcharhinus_obscurus",209,112.0711427,"F","51052388","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",3,1,1,0.000273973,2004-10-13,-30.2937,153.173,3649,0,0,0,2.749662847,10.99865139,2.749662847,5.499325694,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_obscurus","Carcharhinus obscurus",279.3,357.2,85,0.0014,3.34,"Shelf","Pelagic",1,400,200.5,399,-45.33083212,43.56777954,88.89861166,13788400,20.5,34,0.043,"live-bearing","matrotroph","matrotrophic_lb","Placental",3,24,10,16.69311484,"VU"
"3","Carcharhinus_obscurus",328,451.1198664,"F","51052332","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",8,1,3,0.000273973,NA,-30.2937,153.173,3649,0,0,0,0.799364181,44.51582141,5.765329904,15.66176959,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_obscurus","Carcharhinus obscurus",279.3,357.2,85,0.0014,3.34,"Shelf","Pelagic",1,400,200.5,399,-45.33083212,43.56777954,88.89861166,13788400,20.5,34,0.043,"live-bearing","matrotroph","matrotrophic_lb","Placental",3,24,10,16.69311484,"VU"
"4","Carcharhinus_obscurus",349,546.4775751,"F","51052320","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",10,1,2,0.000273973,2002-09-13,-30.2937,153.173,3649,0,0,0,0,261.8893353,33.54470812,82.49775692,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_obscurus","Carcharhinus obscurus",279.3,357.2,85,0.0014,3.34,"Shelf","Pelagic",1,400,200.5,399,-45.33083212,43.56777954,88.89861166,13788400,20.5,34,0.043,"live-bearing","matrotroph","matrotrophic_lb","Placental",3,24,10,16.69311484,"VU"
"5","Carcharhinus_plumbeus",215,124.0702461,"F","51052408","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",21,1,2,0.000273973,2004-07-13,-30.2937,153.173,3649,0,0,0,0,43.00140862,1.904218689,8.960405414,"P","Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_plumbeus","Carcharhinus plumbeus",176,226.5,52.5,0.0014,3.34,"Shelf","Pelagic",1,280,140.5,279,-37.27911462,45.79730606,83.07642068,21432300,11.4,22.4,0.093,"live-bearing","matrotroph","matrotrophic_lb","Placental",2,12,7.9,18.47931729,"VU"
"6","Carcharhinus_plumbeus",163,51.57894227,"F","51052272","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",9,1,5,0.000273973,2002-08-13,-30.2937,153.173,3649,0,0,0,14.14646188,286.6112198,34.18044658,85.81629779,"P","Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_plumbeus","Carcharhinus plumbeus",176,226.5,52.5,0.0014,3.34,"Shelf","Pelagic",1,280,140.5,279,-37.27911462,45.79730606,83.07642068,21432300,11.4,22.4,0.093,"live-bearing","matrotroph","matrotrophic_lb","Placental",2,12,7.9,18.47931729,"VU"
"7","Carcharhinus_plumbeus",193,88.11592314,"F","51052436","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",3,1,3,0.000273973,2005-09-13,-30.2937,153.173,3649,0,0,1.685308301,31.63601298,45.22963709,15.71019167,21.30344479,"P","Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_plumbeus","Carcharhinus plumbeus",176,226.5,52.5,0.0014,3.34,"Shelf","Pelagic",1,280,140.5,279,-37.27911462,45.79730606,83.07642068,21432300,11.4,22.4,0.093,"live-bearing","matrotroph","matrotrophic_lb","Placental",2,12,7.9,18.47931729,"VU"
"8","Carcharodon_carcharias",281,256.1960507,"F","130722447","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",5,1,1,0.000273973,2010-06-16,-28.8679,153.5934,3649,0,0,0,0,880.0089847,176.0017969,393.5519821,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Lamniformes","Lamnidae","Carcharodon","Carcharodon_carcharias","Carcharodon carcharias",445,600,121.5,0.01,3.04,"Shelf","Pelagic",1,1300,650.5,1299,-59.47553742,66.08294865,125.5584861,277804992,12.5,40,0.065,"live-bearing","matrotroph","matrotrophic_lb","Oophagy",2,18,10,70.21617172,"VU"
"9","Carcharodon_carcharias",213,110.0464268,"F","130722435","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",5,1,1,0.000273973,2010-01-16,-28.8441,153.6216,3649,0,0,0,0,884.2663196,176.8532639,395.4559202,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Lamniformes","Lamnidae","Carcharodon","Carcharodon_carcharias","Carcharodon carcharias",445,600,121.5,0.01,3.04,"Shelf","Pelagic",1,1300,650.5,1299,-59.47553742,66.08294865,125.5584861,277804992,12.5,40,0.065,"live-bearing","matrotroph","matrotrophic_lb","Oophagy",2,18,10,70.21617172,"VU"
"10","Carcharodon_carcharias",215,113.2284228,"F","130722399","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",7,1,1,0.000273973,2008-08-16,-28.8386,153.6126,3649,0,0,0,0,602.8973812,86.12819731,227.873791,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Lamniformes","Lamnidae","Carcharodon","Carcharodon_carcharias","Carcharodon carcharias",445,600,121.5,0.01,3.04,"Shelf","Pelagic",1,1300,650.5,1299,-59.47553742,66.08294865,125.5584861,277804992,12.5,40,0.065,"live-bearing","matrotroph","matrotrophic_lb","Oophagy",2,18,10,70.21617172,"VU"
"11","Carcharodon_carcharias",220,121.4527441,"F","130722411","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",4,1,1,0.000273973,2009-06-16,-32.1257,152.5148,3649,0,0,0,126.5149405,506.0597621,126.5149405,253.0298811,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Lamniformes","Lamnidae","Carcharodon","Carcharodon_carcharias","Carcharodon carcharias",445,600,121.5,0.01,3.04,"Shelf","Pelagic",1,1300,650.5,1299,-59.47553742,66.08294865,125.5584861,277804992,12.5,40,0.065,"live-bearing","matrotroph","matrotrophic_lb","Oophagy",2,18,10,70.21617172,"VU"
"12","Carcharodon_carcharias",205,97.91910409,"F","130722381","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",4,1,1,0.000273973,NA,-32.144,152.5106,3649,0,0,0,56.33609796,225.3443918,56.33609796,112.6721959,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Lamniformes","Lamnidae","Carcharodon","Carcharodon_carcharias","Carcharodon carcharias",445,600,121.5,0.01,3.04,"Shelf","Pelagic",1,1300,650.5,1299,-59.47553742,66.08294865,125.5584861,277804992,12.5,40,0.065,"live-bearing","matrotroph","matrotrophic_lb","Oophagy",2,18,10,70.21617172,"VU"
"13","Carcharodon_carcharias",280,253.4254058,"F","130722357","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",3,1,1,0.000273973,2006-02-16,-29.0705,153.4481,3649,0,0,0,64.3122578,128.6245156,42.87483853,74.2613987,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Lamniformes","Lamnidae","Carcharodon","Carcharodon_carcharias","Carcharodon carcharias",445,600,121.5,0.01,3.04,"Shelf","Pelagic",1,1300,650.5,1299,-59.47553742,66.08294865,125.5584861,277804992,12.5,40,0.065,"live-bearing","matrotroph","matrotrophic_lb","Oophagy",2,18,10,70.21617172,"VU"
"14","Carcharodon_carcharias",305,328.9521013,"F","130722372","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",4,1,1,0.000273973,2007-06-16,-28.2892,153.5984,3649,0,0,0,166.5535619,666.2142477,166.5535619,333.1071238,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Lamniformes","Lamnidae","Carcharodon","Carcharodon_carcharias","Carcharodon carcharias",445,600,121.5,0.01,3.04,"Shelf","Pelagic",1,1300,650.5,1299,-59.47553742,66.08294865,125.5584861,277804992,12.5,40,0.065,"live-bearing","matrotroph","matrotrophic_lb","Oophagy",2,18,10,70.21617172,"VU"
"15","Carcharodon_carcharias",250,179.3639591,"F","130722450","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",5,1,1,0.000273973,2010-08-16,-28.8746,153.6036,3649,0,0,0,0,880.4840142,176.0968028,393.7644218,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Lamniformes","Lamnidae","Carcharodon","Carcharodon_carcharias","Carcharodon carcharias",445,600,121.5,0.01,3.04,"Shelf","Pelagic",1,1300,650.5,1299,-59.47553742,66.08294865,125.5584861,277804992,12.5,40,0.065,"live-bearing","matrotroph","matrotrophic_lb","Oophagy",2,18,10,70.21617172,"VU"
"16","Carcharodon_carcharias",152,39.32249793,"F","130722423","NSW DPI (Whaler, White and Tiger Shark Program)","PassAcoustic",10,1,2,0.000273973,2009-07-16,-32.1514,152.5107,3649,0,0,0,0,503.3050905,50.41233605,159.1305011,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Lamniformes","Lamnidae","Carcharodon","Carcharodon_carcharias","Carcharodon carcharias",445,600,121.5,0.01,3.04,"Shelf","Pelagic",1,1300,650.5,1299,-59.47553742,66.08294865,125.5584861,277804992,12.5,40,0.065,"live-bearing","matrotroph","matrotrophic_lb","Oophagy",2,18,10,70.21617172,"VU"
