G.species,subclass,superorder,order,family,species,bearing.mode,trophic.mode,repro.coarse,mode,development,litter.size,interval,age.mat,max.age,k,length.weight.a,length.weight.b,size.at.mat,max.size,pup.size,habitat,Mean.depth
Dasyatis_akajei,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_akajei,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,1,,,,,0.0331,3.02,52.5,66,,Shelf,10
Dasyatis_americana,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_americana,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,6,4.2,1,5.5,18,0.2,0.0739,2.81,77.5,200,18,Shelf,24.5
Dasyatis_bennetti,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_bennetti,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0331,3.02,50,50,,Shelf,20.5
Dasyatis_brevicaudata,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_brevicaudata,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,8,,,,,0.0739,2.81,,210,36,Deep,265
Dasyatis_centroura,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_centroura,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,4,4,,,,,0.0739,2.81,150,260,35.5,Shelf,75
Dasyatis_chrysonota,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_chrysonota,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,9,6.2,1,7,10,0.07,0.0331,3.02,50,71.9,18.5,Shelf,50
Dasyatis_dipterura,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_dipterura,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,3,2.5,1,10,28,0.05,0.0331,3.02,57.3,83,20.5,Shelf,20
Dasyatis_fluviorum,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_fluviorum,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,4.5,4.2,1,13.4,21,0.1,0.0739,2.81,63,93,11,Shelf,20.5
Dasyatis_izuensis,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_izuensis,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,12,4,,,,,0.0331,3.02,31,36.9,,Shelf,10
Dasyatis_laevigata,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_laevigata,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,1.5,,,,,0.0331,3.02,,30,,Shelf,25
Dasyatis_laosensis,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_laosensis,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0331,3.02,,,,Freshwater,5
Dasyatis_lata,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_lata,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,3.5,,15,28,0.12,0.0331,3.02,104.9,133,35,Shelf,198.5
Dasyatis_longa,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_longa,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,10.5,3,,,,,0.0000182,3.0978,110,156,40,Shelf,45
Dasyatis_margarita,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_margarita,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,1.5,,,,,0.0331,3.02,,100,,Shelf,30
Dasyatis_margaritella,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_margaritella,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,1.5,,,,,0.0331,3.02,,30,,Shelf,30
Dasyatis_matsubarai,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_matsubarai,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0331,3.02,,120,,Shelf,40
Dasyatis_microps,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_microps,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0331,3.02,,222,,Shelf,0
Dasyatis_navarrae,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_navarrae,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0331,3.02,38,,,Shelf,50
Dasyatis_parvonigra,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_parvonigra,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0331,3.02,35,52,,Shelf,153.5
Dasyatis_pastinaca,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_pastinaca,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,4,6.5,1,3.7,10,0.089,0.0739,2.81,24,51,,Shelf,100.5
Dasyatis_sabina,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_sabina,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,4,2.5,1,,,,0.0331,3.02,22,45,12,Shelf,4
Dasyatis_say,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_say,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,10.5,3.5,1,,,,0.0331,3.02,52,78,16,Shelf,2
Dasyatis_thetidis,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_thetidis,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0739,2.81,,180,35,Shelf,10
Dasyatis_ushiei,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_ushiei,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0331,3.02,128,202,32.5,Shelf,100
Dasyatis_zugei,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_zugei,live-bearing,matrotroph,matrotrophic_lb,Yolk-sac Live-bearing,,2.5,,,,,0.0331,3.02,19.1,29,9,Shelf,50
Himantura_astra,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura_astra,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,2,,9,29.5,,0.0848,2.72,43.5,80,19,Shelf,71
Himantura_fai,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura_fai,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,12,3,1,8.7,29,0.04,0.0848,2.72,115,184,42.5,Shelf,10
Himantura_gerrardi,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura_gerrardi,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,3,,,,,0.0848,2.72,54,100,19.5,Shelf,30
Himantura_granulata,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura_granulata,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0848,2.72,60,141,21,Shelf,10
Himantura_hortlei,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura_hortlei,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0848,2.72,,70.7,,Shelf,5
Himantura_imbricata,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura_imbricata,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0848,2.72,,22,10,Shelf,5
Himantura_jenkinsii,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura_jenkinsii,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0848,2.72,70,104,23.5,Shelf,25
Himantura_leoparda,batoids,Batoidea,Myliobatiformes,Dasyatidae,Himantura_leoparda,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,,,,,,,0.0848,2.72,82.5,140,20,Shelf,35
