"","X","Subclass","Superorder","Order","Family","Genus","EDGE_Scientific_name","IUCN_Scientific_name","Red.List.status","status.color","mean","median","five.percent","ninety.five.percent","min","max","EDGEScientificName","IUCNScientificName","habitat2","TLmax_cm","mindepth_m","maxdepth_m","mediandepth_m","depthrange_m","l10TLmax_cm","l10mindepth_m","l10maxdepth_m","l10depthrange_m","rlbincat3","predict","predictTLMin","thr_tl","thr_tlmindep","thr_tlcol","thr_tlmindepcol","Red.List.status.new","Red.List.status.new.color","Data.type","area.x","Shape_Leng","Shape_Area","area.y","mi.lat","max.lat","lat.range","G.species"
"1",975,"Elasmobranchii","Batoidea","Rhinopristiformes","Zanobatidae","Zanobatus","Zanobatus_schoenleinii","Zanobatus schoenleinii","DD","#D1D1C6",187.3967877,188.585561,158.5705836,218.411984,139.1406444,256.5955848,"Zanobatus schoenleinii","Zanobatus schoenleinii","Coastal and Continental",100,10,60,35,50,2,1,1.77815125,"1.698970004",NA,0.363429641,0.376721656,"notTHR","notTHR","green","green","notTHR","#90E2F6","molecular",1054680,250.2365373,88.06186216,1054680,-17.31551456,32.50308544,49.8186,"Zanobatus_schoenleinii"
"2",1119,"Elasmobranchii","Batoidea","Torpediniformes","Hypnidae","Hypnos","Hypnos_monopterygius","Hypnos monopterygius","LC","#60C659",157.8477321,152.8511529,123.4476621,206.995114,105.8129833,263.6958729,"Hypnos monopterygius","Hypnos monopterygius","Deepwater",60,1,240,120.5,239,1.77815125,0,2.380211242,"2.378397901",0,0.27605031,0.499528034,"notTHR","notTHR","green","green","LC","#60C659","taxonomic",1078950,321.7989264,98.95057212,1078950,-38.44868725,-10.02229271,28.42639454,"Hypnos_monopterygius"
"3",456,"Elasmobranchii","Batoidea","Myliobatiformes","Hexatrygonidae","Hexatrygon","Hexatrygon_bickelli","Hexatrygon bickelli","LC","#60C659",136.7106464,136.8796202,116.4263801,158.6972369,96.95148266,187.2343262,"Hexatrygon bickelli","Hexatrygon bickelli","Deepwater",168,362,1120,741,758,2.225309282,2.558708571,3.049218023,"2.879669206",0,0.462425066,0.193325305,"notTHR","notTHR","green","green","LC","#60C659","molecular",3506120,502.2749381,315.174646,3506120,-36.70523004,42.99905396,79.704284,"Hexatrygon_bickelli"
"4",357,"Elasmobranchii","Galeomorphs","Lamniformes","Mitsukurinidae","Mitsukurina","Mitsukurina_owstoni","Mitsukurina owstoni","LC","#60C659",129.3969721,135.3702548,88.49135683,159.2293549,86.36216087,189.2234724,"Mitsukurina owstoni","Mitsukurina owstoni","Pelagic",500,30,1300,665,1270,2.698970004,1.477121255,3.113943352,"3.103803721",0,0.670664105,0.490545828,"THR","notTHR","red","green","LC","#60C659","molecular",2212110,549.7588383,205.0815738,2212110,-43.0694576,48.38200527,91.45146288,"Mitsukurina_owstoni"
"5",1168,"Elasmobranchii","Batoidea","Torpediniformes","Platyrhinidae","Platyrhinoidis","Platyrhinoidis_triseriata","Platyrhinoidis triseriata","LC","#60C659",134.3886324,134.0492717,115.3874684,160.5590214,103.279883,193.4080551,"Platyrhinoidis triseriata","Platyrhinoidis triseriata","Coastal and Continental",91,1,137,69,136,1.959041392,0,2.136720567,"2.133538908",0,0.346371117,0.553079161,"notTHR","THR","green","red","LC","#60C659","molecular",97766.8984,75.22045916,9.124828929,97766.89844,22.58259054,37.87589711,15.29330657,"Platyrhinoidis_triseriata"
"6",917,"Elasmobranchii","Batoidea","Rhinopristiformes","Pristidae","Anoxypristis","Anoxypristis_cuspidata","Anoxypristis cuspidata","EN","#FC7F3F",117.2169019,125.0927947,69.11800589,146.8957891,67.63740548,171.4456,"Anoxypristis cuspidata","Anoxypristis cuspidata","Coastal and Continental",350,1,40,20.5,39,2.544068044,0,1.602059991,"1.591064607",1,0.605721564,0.712690491,"THR","THR","red","red","EN","#FC7F3F","molecular",3499870,2757.648909,296.2258682,3499870,-17.72469521,40.95294571,58.67764091,"Anoxypristis_cuspidata"
"7",489,"Elasmobranchii","Batoidea","Myliobatiformes","Plesiobatidae","Plesiobatis","Plesiobatis_daviesi","Plesiobatis daviesi","LC","#60C659",117.0617062,117.3682765,99.06841782,136.5562048,79.84457141,161.2616392,"Plesiobatis daviesi","Plesiobatis daviesi","Deepwater",270,44,680,362,636,2.431363764,1.643452676,2.832508913,"2.803457116",0,0.555843537,0.381498675,"THR","notTHR","red","green","LC","#60C659","molecular",1189140,283.1175615,104.321638,1189140,-31.79372991,29.21316867,61.00689857,"Plesiobatis_daviesi"
"8",358,"Elasmobranchii","Galeomorphs","Lamniformes","Odontaspididae","Carcharias","Carcharias_taurus","Carcharias taurus","VU","#F9E814",103.3448823,107.6841217,72.50709793,125.8955335,70.54947424,148.9641505,"Carcharias taurus","Carcharias taurus","Coastal and Continental",430,1,191,96,190,2.633468456,0,2.281033367,"2.278753601",1,0.643827882,0.733948554,"THR","THR","red","red","VU","#F9E814","molecular",10969900,2814.339694,1010.534916,10969900,-48.44473688,45.79730606,94.24204294,"Carcharias_taurus"
"9",348,"Elasmobranchii","Galeomorphs","Lamniformes","Alopiidae","Alopias","Alopias_superciliosus","Alopias superciliosus","VU","#F9E814",100.0538694,105.9317742,63.41965991,124.2694948,61.57932473,147.0269204,"Alopias superciliosus","Alopias superciliosus","Pelagic",460,1,723,362,722,2.662757832,0,2.859138297,"2.858537198",1,0.655951936,0.740690942,"THR","THR","red","red","VU","#F9E814","molecular",191352992,5330.45836,16411.95231,191352992,-42.1690519,57.12478431,99.29383621,"Alopias_superciliosus"
"10",922,"Elasmobranchii","Batoidea","Rhinopristiformes","Rhinidae","Rhina","Rhina_ancylostoma","Rhina ancylostoma","VU","#F9E814",99.38873648,105.8644587,58.89093216,124.7430066,57.24813997,142.5865718,"Rhina ancylostoma","Rhina ancylostoma","Coastal and Continental",270,1,90,45.5,89,2.431363764,0,1.954242509,"1.949390007",1,0.555843537,0.684499129,"THR","THR","red","red","VU","#F9E814","molecular",3582770,3583.480021,303.5537677,3582770,-32.30021149,40.95294571,73.2531572,"Rhina_ancylostoma"
