species.ID,subclass,superorder,order,family,genus,species,IUCN_Scientific_name,Recent.taxonomic.revisions,size.at.mat,max.size,pup.size,length.weight.a,length.weight.b,habitat,IUCN.habitat,mindepth_m,maxdepth_m,mediandepth_m,depthrange_m,min.lat,max.lat,lat.range,area,age.mat,max.age,k,parity.mode,embryo.trophic.mode,repro.coarse,mode,breeding.interval,development,litter.size,median.ED,Red.List.status.new,Data.type,Species.authorship
Hemitrygon_akajei,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_akajei,Dasyatis akajei,Hemitrygon akajei,52.5,66,NA,0.0331,3.02,Shelf,Coastal and Continental,1,200,100.5,199,1.56133069,43.75097275,42.18964206,856579,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,1,19.55251026,NT,molecular,Last et al 2016
Hypanus_americanus,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_americana,Dasyatis americana,Hypanus americanus,77.5,200,18,0.0739,2.81,Shelf,Coastal and Continental,1,53,27,52,-24.39261456,40.40258544,64.7952,3931130,5.5,18,0.2,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,6,4.2,30.71004989,NA,molecular,Hildebrand & Schroeder 1928 
Hemitrygon_bennetti,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_bennetti,Dasyatis bennetti,Hemitrygon bennetti,50,50,NA,0.0331,3.02,Shelf,Coastal and Continental,NA,NA,NA,NA,6.223379261,27.14659865,20.92321939,303941,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,NA,15.11483293,NA,molecular,Last et al 2016
Bathytoshia_brevicaudata,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_brevicaudata,Dasyatis brevicaudata,Bathytoshia brevicaudata,NA,210,36,0.0739,2.81,Deep,Deepwater,156,480,318,324,-47.28432308,-22.15588039,25.12844269,1240900,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,8,24.78498615,LC,molecular,Hutton 1875 
Bathytoshia_centroura,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_centroura,Dasyatis centroura,Bathytoshia centroura,150,260,35.5,0.0739,2.81,Shelf,Deepwater,100,274,187,174,-42.64831456,45.79730606,88.44562062,4541330,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,4,4,19.97109496,LC,molecular,Mitchill 1815 
Dasyatis_chrysonota,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_chrysonota,Dasyatis chrysonota,,50,71.9,18.5,0.0331,3.02,Shelf,Coastal and Continental,10,100,55,90,-36.12611456,-11.42374615,24.70236841,281093,7,10,0.07,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,9,6.2,34.39921633,LC,molecular,Smith 1828 
Hypanus_dipterurus,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_dipterura,Dasyatis dipterura,Hypanus dipterurus,57.3,83,20.5,0.0331,3.02,Shelf,Coastal and Continental,1,150,75.5,149,-11.52050089,32.96041607,44.48091696,421798,10,28,0.05,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,3,2.5,35.32251162,NA,molecular,Jordan & Gilbert 1880 
Hemitrygon_fluviorum,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_fluviorum,Dasyatis fluviorum,Hemitrygon fluviorum,63,93,11,0.0739,2.81,Shelf,Coastal and Continental,1,28,14.5,27,-32.18515003,-3.309799074,28.87535095,183549,13.4,21,0.1,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,1,4.5,4.2,19.6186071,VU,molecular,Ogilby 1908 
Hemitrygon_izuensis,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_izuensis,Dasyatis izuensis,Hemitrygon izuensis,31,36.9,NA,0.0331,3.02,Shelf,Coastal and Continental,10,20,15,10,34.14587772,35.10455704,0.958679317,5089.5098,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,12,4,24.41121148,NT,molecular,Nishida & Nakaya 1988 
Hemitrygon_laevigata,batoids,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis_laevigata,Dasyatis laevigata,Hemitrygon laevigata,NA,30,NA,0.0331,3.02,Shelf,Coastal and Continental,1,50,25.5,49,21.59279626,33.20152664,11.60873038,214182,NA,NA,NA,live-bearing,matrotroph,matrotrophic_lb,Lipid Histotrophy,NA,NA,1.5,24.89254371,NT,molecular,Chu 1960 
