IUCN_Scientific_name,Shape_Leng,Shape_Area,area,mi.lat,max.lat,lat.range
Aculeola nigra,73.1281629,34.5270699,403977,-31.40264578,-5.964765834,25.43787994
Aetobatus flagellum,376.7424516,41.47468191,477171,-6.48496198,35.95887096,42.44383294
Aetobatus narinari,5471.36172,2136.060044,25432200,-34.85650148,35.25444019,70.11094167
Aetomylaeus maculatus,855.1561866,99.89568231,1193160,-23.36682118,27.17322159,50.54004276
Aetomylaeus nichofii,2629.042075,297.3187674,3529060,-25.27149963,40.95294571,66.22444534
Aetomylaeus vespertilio,541.1072045,80.28701061,959158,-25.6722932,29.82861445,55.50090765
Alopias pelagicus,3709.989649,10159.4339,121058000,-33.28018016,37.20434841,70.48452857
Alopias superciliosus,5330.45836,16411.95231,191352992,-42.1690519,57.12478431,99.29383621
Alopias vulpinus,7949.336289,24007.83198,264335008,-57.95270771,66.44777127,124.400479
Amblyraja badia,1420.894924,523.5661105,4147540,5.335227815,66.18620183,60.85097401
Amblyraja doellojuradoi,807.8843897,162.9894562,1372560,-56.94941456,-32.91162872,24.03778584
Amblyraja frerichsi,46.62864577,13.69669316,129379,-49.20121456,-30.24471456,18.9565
Amblyraja georgiana,46.90137663,18.15965476,138415,-72.74681456,-45.06701456,27.6798
Amblyraja hyperborea,934.5991784,201.9139995,909227,42.15118544,81.27618544,39.125
Amblyraja jenseni,141.4517912,46.5903263,390134,38.86688544,59.23048544,20.3636
Amblyraja radiata,771.0907373,319.082167,2159900,32.79508544,79.70448544,46.9094
Amblyraja reversa,1.332635381,0.077680071,872.3629761,24.25043403,24.60309904,0.352665008
Amblyraja robertsi,4.442713345,0.443147674,4560.970215,-34.68281456,-32.65921456,2.0236
Amblyraja taaf,12.70279206,5.672816263,49053.89844,-48.31151922,-34.37607155,13.93544768
Anacanthobatis americanus,77.97636021,19.01324848,227737,6.536085441,21.08558544,14.5495
Anacanthobatis donghaiensis,8.049169056,4.459787009,47851.89844,28.03551297,31.30496354,3.269450569
Anacanthobatis folirostris,24.304997,4.592704303,49816.19922,27.68718544,29.78498544,2.0978
Anacanthobatis longirostris,145.8080986,40.40169668,456391,15.51128544,29.75158544,14.2403
Anacanthobatis marmoratus,17.84927682,1.988008864,21759.30078,-31.06059885,-24.45854231,6.602056548
Anacanthobatis nanhaiensis,25.60637559,3.061497546,35119.60156,20.40840226,23.09325027,2.684848016
Anacanthobatis ori,13.79684115,1.871805572,22261.69922,-21.01920065,-11.35214429,9.667056364
Anacanthobatis stenosoma,7.400095477,4.349468583,50216.30078,19.31588442,21.75404596,2.438161543
Anoxypristis cuspidata,2757.648909,296.2258682,3499870,-17.72469521,40.95294571,58.67764091
Apristurus albisoma,23.15237714,18.07193446,202729,-27.59795809,-21.94980491,5.648153177
Apristurus ampliceps,116.9747438,64.81567753,586853,-49.2177075,-33.35870493,15.85900258
Apristurus aphyodes,179.1762349,75.17763258,467478,45.56103559,66.21633559,20.6553
Apristurus australis,165.4467511,80.77719306,856566,-45.33083212,-14.71733394,30.61349818
Apristurus brunneus,343.1185251,114.1473076,1130330,-4.946993737,60.09229439,65.03928813
Apristurus bucephalus,3.492051792,0.970376932,10172.2998,-32.51181923,-31.40025051,1.111568717
Apristurus canutus,35.07013569,8.03223839,94327.29688,11.38274794,25.49974794,14.117
Apristurus exsanguis,242.5089621,146.5200958,1275200,-54.7858833,-32.7319104,22.0539729
Apristurus fedorovi,19.26394355,7.043799574,66094,37.13764006,43.12215489,5.984514831
Apristurus gibbosus,14.10550881,7.426698887,85320.39844,18.6086239,25.62329568,7.014671779
Apristurus herklotsi,66.51144528,28.40633385,326670,6.764433056,33.34292589,26.57849284
Apristurus indicus,136.6475099,75.92594096,883699,-33.01385206,25.3828942,58.39674626
Apristurus internatus,21.25507264,27.34144033,285264,28.89752068,35.91685387,7.019333188
Apristurus investigatoris,17.40394618,4.608749367,55375.80078,10.52217011,14.85889498,4.336724871
Apristurus japonicus,64.1495171,24.1216028,254231,23.0792403,36.97390486,13.89466456
Apristurus kampae,122.721849,40.98808012,435477,-2.008485445,42.6850102,44.69349565
Apristurus laurussonii,151.2579099,61.47468376,557009,26.73944794,64.44744794,37.708
Apristurus longicephalus,622.6245064,225.1398042,2520320,-27.05336116,38.29625041,65.34961156
Apristurus macrorhynchus,118.7633875,37.13761499,404113,19.71309114,35.68694306,15.97385192
Apristurus macrostomus,8.881991005,6.088536375,70530.39844,18.65007362,21.32946574,2.679392127
Apristurus manis,122.3477684,44.68180014,376144,-29.38735206,59.40234794,88.7897
Apristurus melanoasper,18.31651626,23.24340483,155274,53.87724794,60.79404794,6.916799999
Apristurus microps,82.80054519,44.88261634,441161,-37.60455206,61.05074794,98.6553
Apristurus micropterygeus,12.08929751,5.046671644,58071.5,19.66734794,22.45124794,2.7839
Apristurus nasutus,78.24261019,27.47661719,317302,-28.84693778,33.95634794,62.80328572
Apristurus parvipinnis,215.1981844,92.45905179,1085900,1.440220545,30.80861855,29.368398
Apristurus pinguis,139.0504284,74.47174101,767207,-45.03179081,29.33461368,74.36640449
Apristurus platyrhynchus,144.1824194,58.50886019,647115,-36.16760343,36.23665748,72.40426091
Apristurus profundorum,99.85954688,38.85050359,383224,15.95114794,61.38754794,45.4364
Apristurus riveri,439.0622174,150.530951,1728660,7.898654938,30.80861855,22.90996361
Apristurus saldanha,35.18081317,26.55573767,273825,-37.60455206,-28.04366372,9.560888338
Apristurus sibogae,31.46242967,11.34208677,139534,-3.665921119,1.125166655,4.791087774
Apristurus sinensis,117.433693,96.39011084,1081370,-44.84236728,22.26455788,67.10692517
Apristurus spongiceps,85.65848007,46.53890314,535170,-6.928723729,26.73196518,33.6606889
Apristurus stenseni,63.0214281,17.59161952,215410,1.51364794,9.030436516,7.516788576
Aptychotrema rostrata,121.4590076,29.69561368,329018,-37.04389447,-18.58521408,18.4586804
Aptychotrema timorensis,1.916497742,0.27349506,3306.459961,-11.27361032,-10.68334434,0.590265981
Aptychotrema vincentiana,199.8781429,71.83092125,751320,-39.67249199,-18.73711977,20.93537222
Arhynchobatis asperrimus,42.91759612,13.62663883,128909,-47.16030716,-33.05586858,14.10443858
Asymbolus analis,62.10273696,13.28671527,137536,-38.45583396,-26.65375686,11.8020771
Asymbolus funebris,15.80454343,5.932836023,60732.19922,-35.28071164,-32.55557294,2.725138703
Asymbolus galacticus,5.911092741,2.77301657,30673.19922,-27.30100322,-25.36962834,1.931374874
Asymbolus occiduus,66.80076347,43.37400193,445264,-36.31688111,-31.46841621,4.8484649
Asymbolus pallidus,62.10092633,37.43543576,435354,-24.16599561,-14.75454297,9.411452643
Asymbolus parvus,54.78728947,34.45778779,404769,-21.65645046,-12.49120546,9.165245008
Asymbolus rubiginosus,100.0984785,29.67878709,294797,-44.98232646,-26.37350821,18.60881824
Asymbolus submaculatus,38.81734842,14.72497345,150362,-36.09026672,-30.96558843,5.124678282
Asymbolus vincenti,232.323585,108.096815,1074490,-44.98232646,-28.50306441,16.47926205
Atelomycterus baliensis,0.523959333,0.02127626,258.9549866,-8.785496956,-8.616320492,0.169176464
Atelomycterus fasciatus,31.26736285,11.81849235,137024,-22.52577782,-17.97346477,4.552313048
Atelomycterus macleayi,132.2939578,43.46939291,519042,-20.28533363,-9.429052588,10.85628104
Atelomycterus marmoratus,1466.049659,418.688374,5035200,-10.53231984,26.15313474,36.68545457
Atelomycterus marnkalha,189.2749216,64.12445861,760918,-24.21166611,-8.90344429,15.30822182
Atlantoraja castelnaui,48.80644936,5.481845638,58006.5,-38.69901456,-23.05401456,15.645
Atlantoraja cyclophora,67.60996035,32.74557597,349969,-38.59861456,-18.27481456,20.3238
Atlantoraja platana,87.48895106,49.86449418,501713,-42.44340515,-22.92062884,19.52277631
Aulohalaelurus kanakorum,8.478402975,1.530029434,17427.19922,-23.32789718,-21.72612484,1.601772337
Aulohalaelurus labiosus,43.11112869,16.57330938,171218,-36.09026667,-28.19870649,7.891560177
Bathyraja abyssicola,327.7269298,177.3573586,1433690,31.20963017,59.97118193,28.76155176
Bathyraja aguja,7.304352676,1.162799925,13636.90039,-33.57530295,-5.829470865,27.74583209
Bathyraja aleutica,592.6387972,333.9556349,2504440,35.2678253,62.3532973,27.08547199
Bathyraja andriashevi,32.1938874,25.6361228,213999,34.32148912,51.71519457,17.39370544
Bathyraja bergi,166.5861218,93.29928216,832504,35.92462801,51.35978635,15.43515834
Bathyraja brachyurops,216.498586,98.79409544,828264,-56.94941456,-29.96011456,26.9893
Bathyraja cousseauae,4.976846515,0.609491955,5391.040039,-53.14851456,-37.98301456,15.1655
Bathyraja diplotaenia,33.46951651,14.91051018,140883,35.82632894,43.17116291,7.344833967
Bathyraja eatonii,209.2701227,56.92527106,339866,-76.36031456,-47.01881456,29.3415
Bathyraja fedorovi,297.2571708,134.694998,1096360,30.69580847,59.0194079,28.32359944
Bathyraja griseocauda,163.0526385,75.20111498,614747,-56.94941456,-36.40231456,20.5471
Bathyraja hesperafricana,145.9503004,46.78539901,565899,-4.635914559,21.40728544,26.0432
Bathyraja irrasa,49.56334956,12.73604871,103282,-51.43758569,-47.01951598,4.418069703
Bathyraja ishiharai,6.14903547,2.969957375,30547.40039,-34.74330168,-32.60871186,2.134589815
Bathyraja isotrachys,511.9603464,242.9485358,2156470,23.61388141,57.26098694,33.64710552
Bathyraja kincaidii,113.610354,32.16364685,268629,32.25635336,58.2888098,26.03245644
Bathyraja lindbergi,597.9276668,293.1460164,2022430,49.74301115,63.24671657,13.50370542
Bathyraja longicauda,5.904349881,0.805960687,8976.360352,-33.40940097,-7.265009812,26.14439115
Bathyraja maccaini,147.0606528,46.3955207,260629,-70.04811456,-59.61621456,10.4319
Bathyraja maculata,826.5232909,420.9057495,3075930,42.11258059,62.67925939,20.56667881
Bathyraja mariposa,40.50836646,12.76952371,97671.10156,50.50628427,53.28531528,2.779031011
Bathyraja matsubarai,41.65910792,15.17944956,139491,37.1885174,46.39393563,9.205418227
Bathyraja meridionalis,159.1967447,97.04375059,812183,-55.84811456,-37.57561456,18.2725
Bathyraja microtrachys,47.40568051,18.9661224,181952,31.33332124,47.62453331,16.29121206
Bathyraja minispinosa,603.2196359,381.4713937,2771100,42.11258059,62.67925939,20.56667881
Bathyraja pallida,34.55156248,5.477691668,41539.30078,46.72228544,60.81328544,14.091
Bathyraja panthera,35.75130458,16.01940674,121671,50.45066109,54.45528345,4.004622359
Bathyraja papilonifera,166.738639,108.5285407,936159,-53.79991456,-33.07091522,20.72899934
Bathyraja parmifera,897.7163568,514.0928453,3723040,41.23603672,62.80586462,21.5698279
Bathyraja peruana,29.38236263,3.705186111,45009.60156,-15.19510063,-3.082613233,12.1124874
Bathyraja richardsoni,336.4006203,319.3556616,2871830,-49.31527769,56.56738544,105.8826631
Bathyraja scaphiops,149.6101709,63.75126683,520438,-54.82441456,-36.22311456,18.6013
