G.species,max.size.cm,min.dapth.m,max.depth.m,med.depth.m,depth.range,min.lat,max.lat,med.lat,lat.range
Carcharhinus_acronotus,132.4,18,64,41,46,-35.77555206,39.58261108,12.28602991,75.35816314
Carcharhinus_albimarginatus,300,1,800,400.5,799,-28.44491119,30.80861854,2.785100926,59.25352973
Carcharhinus_altimus,282,30,430,230,400,-33.91328033,41.86071886,10.7746004,75.77399919
Carcharhinus_amblyrhynchoides,167,1,50,25.5,49,-25.92336016,30.51833343,2.454028289,56.44169359
Carcharhinus_amblyrhynchos,190,1,140,70.5,139,-32.66123033,29.47575252,-6.376414664,62.13698285
Carcharhinus_borneensis,70,1,200,100.5,199,-9.599996303,21.93544388,6.444508346,31.53544018
Carcharhinus_brachyurus,275,1,100,50.5,99,-52.5772655,45.79730606,7.443817733,98.37457156
Carcharhinus_brevipinna,294,1,75,38,74,-37.6751021,41.36750412,5.703611914,79.04260622
Carcharhinus_cautus,134,1,200,100.5,199,-30.15983738,-4.195435474,-14.54064535,25.96440191
Carcharhinus_dussumieri,100,1,170,85.5,169,-28.28149986,34.79100037,3.592794943,63.07250023
Carcharhinus_falciformis,305,18,500,259,482,-38.22048203,41.44329811,1.243957176,79.66378014
Carcharhinus_fitzroyensis,135,1,40,20.5,39,-23.62133517,-9.29419535,-14.62186699,14.32713982
Carcharhinus_galapagensis,300,1,280,140.5,279,-33.01581629,43.04761309,7.128817453,76.06342938
Carcharhinus_isodon,159.6,1,20,10.5,19,-37.46515206,41.31340027,15.43815318,78.77855233
Carcharhinus_leiodon,123,1,40,20.5,39,14.27284794,17.63033044,15.92489342,3.3574825
Carcharhinus_leucas,300.2,1,152,76.5,151,-37.75126064,43.32690849,2.443007361,81.07816913
Carcharhinus_limbatus,191,1,30,15.5,29,-34.83715455,45.79730606,7.988727516,80.63446061
Carcharhinus_longimanus,285,1,152,76.5,151,-46.80869513,45.91630716,1.140381877,92.72500229
Carcharhinus_macloti,110,1,170,85.5,169,-23.68722153,34.94157266,2.76118146,58.62879419
Carcharhinus_melanopterus,180,20,75,47.5,55,-28.69326336,37.05195416,1.437167841,65.74521752
Carcharhinus_obscurus,357.2,1,400,200.5,399,-45.33083212,43.56777954,0.083746998,88.89861166
Carcharhinus_perezii,295,30,378,204,348,-35.68455206,31.20364794,13.05320197,66.8882
Carcharhinus_plumbeus,226.5,1,280,140.5,279,-37.27911462,45.79730606,10.82469118,83.07642068
Carcharhinus_sealei,95,1,40,20.5,39,-28.46759835,25.64419365,0.454344594,54.111792
Carcharhinus_signatus,260,1,600,300.5,599,-42.55025206,41.80683899,2.145323907,84.35709105
Carcharhinus_sorrah,151.8,10,140,75,130,-29.74757168,30.85331908,1.012419865,60.60089076
Carcharhinus_tilstoni,196,1,150,75.5,149,-23.94143092,-9.821875025,-15.11729589,14.1195559
Galeocerdo_cuvier,410,1,140,70.5,139,-38.11219163,52.9531502,3.319548567,91.06534183
Glyphis_fowlerae,128,1,50,25.5,49,4,5,4.5,1
Glyphis_gangeticus,204,1,50,25.5,49,10.09230365,25.64419365,18.91493704,15.55189
Glyphis_garricki,250,1,50,25.5,49,-19.09171541,-6.953996407,-13.48292949,12.137719
Glyphis_glyphis,250,1,50,25.5,49,-19.53705922,-7.230957815,-13.34611443,12.30610141
Lamiopsis_temminckii,168,1,50,25,50,-6.729598883,25.64419365,9.923490083,32.37379253
Loxodon_macrorhinus,90,7,80,43.5,73,-30.61951466,34.97485627,2.513378655,65.59437093
Nasolamia_velox,165,15,192,103.5,177,-17.40533764,31.91462326,10.88173547,49.3199609
Negaprion_acutidens,240,1,30,15.5,29,-31.2505513,30.00152779,-3.806835842,61.25207909
Negaprion_brevirostris,293.6,1,92,46.5,91,-37.43605206,43.28066222,11.94061875,80.71671428
