Subclass,Superorder,Order,Family,G.species,Data type,Recent taxonomic revisions,Species authorship
Holocephali,Holocephalimorpha,Chimaeriformes,Callorhinchidae,Callorhinchus_callorynchus,molecular,,Linnaeus 1758 
Holocephali,Holocephalimorpha,Chimaeriformes,Callorhinchidae,Callorhinchus_capensis,molecular,,Duméril 1865 
Holocephali,Holocephalimorpha,Chimaeriformes,Callorhinchidae,Callorhinchus_milii,molecular,,Bory de Saint-Vincent 1823 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_argiloba,taxonomic,,"Last, White & Pogonoski 2008 "
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_bahamaensis,taxonomic,,"Kemper, Ebert, Didier & Compagno 2010 "
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_cubana,taxonomic,,Howell Rivero 1936 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_fulva,molecular,,"Didier, Last & White 2008 "
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_jordani,taxonomic,,Tanaka 1905 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_lignaria,molecular,,Didier 2002 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_macrospina,taxonomic,,"Didier, Last & White 2008 "
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_monstrosa,molecular,,Linnaeus 1758 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_notafricana,taxonomic,,"Kemper, Ebert, Compagno & Didier 2010 "
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_obscura,taxonomic,,"Didier, Last & White 2008 "
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_opalescens,molecular,,"Luchetti, Iglésias & Sellos 2011 "
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_owstoni,taxonomic,,Tanaka 1905 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_panthera,molecular,,Didier 1998 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Chimaera_phantasma,molecular,,Jordan & Snyder 1900 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_affinis,molecular,,de Brito Capello 1868 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_africanus,molecular,,Gilchrist 1922 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_alberti,taxonomic,,Bigelow & Schroeder 1951 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_alphus,taxonomic,,"Quaranta, Didier, Long & Ebert 2006 "
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_barbouri,molecular,,Garman 1908 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_bemisi,molecular,,Didier 2002 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_colliei,molecular,,Lay & Bennett 1839 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_deani,taxonomic,junior synonym of Hydrolagus mitsukurii,Jordan & Snyder 1904 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_eidolon,taxonomic,junior synonym of Hydrolagus purpurescens,Gilbert 1905 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_homonycteris,taxonomic,,Didier 2008 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_lemures,molecular,,Whitley 1939 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_lusitanicus,taxonomic,questionably valid species,"Moura, Figueiredo, Bordalo-Machado, Almeida & Gordo 2005 "
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_macrophthalmus,taxonomic,,de Buen 1959 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_marmoratus,taxonomic,,Didier 2008 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_matallanasi,taxonomic,,Soto & Vooren 2004 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_mccoskeri,taxonomic,,"Barnett, Didier, Long & Ebert 2006 "
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_melanophasma,molecular,,"James, Ebert, Long & Didier 2009 "
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_mirabilis,molecular,,Collett 1904 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_mitsukurii,molecular,,Jordan & Snyder 1904 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_novaezealandiae,molecular,,Fowler 1911 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_ogilbyi,molecular,,Waite 1898 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_pallidus,taxonomic,,Hardy & Stehmann 1990 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_purpurescens,taxonomic,,Gilbert 1905 
Holocephali,Holocephalimorpha,Chimaeriformes,Chimaeridae,Hydrolagus_trolli,molecular,,Didier & Séret 2002 
Holocephali,Holocephalimorpha,Chimaeriformes,Rhinochimaeridae,Harriotta_haeckeli,taxonomic,,Karrer 1972 
Holocephali,Holocephalimorpha,Chimaeriformes,Rhinochimaeridae,Harriotta_raleighana,molecular,,Goode & Bean 1895 
Holocephali,Holocephalimorpha,Chimaeriformes,Rhinochimaeridae,Neoharriotta_carri,taxonomic,,Bullis & Carpenter 1966 
Holocephali,Holocephalimorpha,Chimaeriformes,Rhinochimaeridae,Neoharriotta_pinnata,molecular,,Schnakenbeck 1931
Holocephali,Holocephalimorpha,Chimaeriformes,Rhinochimaeridae,Neoharriotta_pumila,taxonomic,,Didier & Stehmann 1996 
Holocephali,Holocephalimorpha,Chimaeriformes,Rhinochimaeridae,Rhinochimaera_africana,molecular,,"Compagno, Stehmann & Ebert 1990 "
Holocephali,Holocephalimorpha,Chimaeriformes,Rhinochimaeridae,Rhinochimaera_atlantica,taxonomic,,Holt & Byrne 1909 
Holocephali,Holocephalimorpha,Chimaeriformes,Rhinochimaeridae,Rhinochimaera_pacifica,molecular,,Mitsukuri 1895 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_acutirostra,taxonomic,Telatrygon acutirostra but a questionably valid species ,Nishida & Nakaya 1988 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_akajei,molecular,Hemitrygon akajei,Last et al 2016
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_americana,molecular,Hypanus americanus,Hildebrand & Schroeder 1928 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_bennetti,molecular,Hemitrygon bennetti,Last et al 2016
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_brevicaudata,molecular,Bathytoshia brevicaudata,Hutton 1875 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_centroura,molecular,Bathytoshia centroura,Mitchill 1815 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_chrysonota,molecular,,Smith 1828 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_colarensis,taxonomic,Fontitrygon colarensis,"Santos, Gomes & Charvet-Almeida 2004 "
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_dipterura,molecular,Hypanus dipterurus,Jordan & Gilbert 1880 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_fluviorum,molecular,Hemitrygon fluviorum,Ogilby 1908 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_garouaensis,taxonomic,Fontitrygon garouaensis,Stauch & Blanc 1962 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_geijskesi,taxonomic,Fontitrygon geijskesi,Boeseman 1948 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_gigantea,taxonomic,junior synonym of Bathytoshia brevicaudata,Lindberg 1930 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_guttata,taxonomic,Hypanus guttatus,Bloch & Schneider 1801 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_hastata,taxonomic,junior synonym of ?Bathytoshia centroura,DeKay 1842 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_hypostigma,taxonomic,,Santos & Carvalho 2004 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_izuensis,molecular,Hemitrygon izuensis,Nishida & Nakaya 1988 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_laevigata,molecular,Hemitrygon laevigata,Chu 1960 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_laosensis,molecular,Hemitrygon laosensis,Roberts & Karnasuta 1987 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_lata,molecular,Bathytoshia lata,Garman 1880 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_longa,molecular,Hypanus longus,Garman 1880 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_margarita,molecular,Fontitrygon margarita,Last et al 2016
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_margaritella,molecular,Fontitrygon margaritella,Compagno & Roberts 1984 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_marianae,taxonomic,Hypanus marianae,"Gomes, Rosa & Gadig 2000 "
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_marmorata,taxonomic,,Steindachner 1892 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_matsubarai,molecular,junior synonym of Bathytoshia brevicaudata,Miyosi 1939 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_microps,molecular,Megatrygon microps,Annandale 1908 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_multispinosa,taxonomic,junior synonym of Bathytoshia brevicaudata,Tokarev 1959 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_navarrae,molecular,Hemitrygon navarrae,Steindachner 1892 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_parvonigra,molecular,Hemitrygon parvonigra,Last & White 2008 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_pastinaca,molecular,,Linnaeus 1758 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_rudis,taxonomic,Hypanus rudis but a questionably valid species,Günther 1870 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_sabina,molecular,Hypanus sabinus,Lesueur 1824 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_say,molecular,Hypanus say,Lesueur 1817 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_sinensis,taxonomic,Hemitrygon sinensis,Steindachner 1892 
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_thetidis,molecular,junior synonym of Bathytoshia lata,Ogilby 1899 
