species.ID,EDGE.names,Recent.taxonomic.revisions,EDGE.names.drop.list,rationale,Mvmt.species.add.list
Aetomylaeus_bovinus,Pteromylaeus_bovinus,Aetomylaeus bovinus,Amblyraja_badia,junior synonym of Amblyraja hyperborea,Carcharhinus_amboinensis
Bathyraja_albomaculata,Rhinoraja_albomaculata,Bathyraja albomaculata,Amblyraja_jenseni,junior synonym of Amblyraja hyperborea,Gymnura_natalensis
Bathyraja_magellinca,Rhinoraja_magellanica,Bathyraja magellinca,Dasyatis_matsubarai,junior synonym of Bathytoshia brevicaudata,Mobula.alfredi
Bathyraja_marrayi,Rhinoraja_murrayi,Bathyraja marrayi,Dasyatis_thetidis,junior synonym of Bathytoshia lata,Orectolobus_halei
Bathyraja_multispinis,Rhinoraja_multispinis,Bathyraja multispinis,Dasyatis_ushiei,junior synonym of Bathytoshia lata,Urogymnus_dalyensis
Bathyraja_taranetzi,Rhinoraja_taranetzi,Bathyraja taranetzi,Glyphis_fowlerae,junior synonym of Glyphis glyphis,
Bathytoshia_brevicaudata,Dasyatis_brevicaudata,Bathytoshia brevicaudata,Narcine_brunnea,junior synonym of Narcine timlei,
Bathytoshia_centroura,Dasyatis_centroura,Bathytoshia centroura,Potamotrygon_castexi,junior synonym of Potamotrygon falkneri,
Bathytoshia_lata,Dasyatis_lata,Bathytoshia lata,Rhinobatos_formosensis,junior synonym of Rhinobatos schlegelii,
Batyraja_macloviana,Rhinoraja_macloviana,Batyraja macloviana,Torpedo_macneilli,junior synonym of Tetronarce nobiliana,
Beringraja_inornata,Raja_inornata,Beringraja inornata,,,
Beringraja_rhina,Raja_rhina,Beringraja rhina,,,
Beringraja_stellulata,Raja_stellulata,Beringraja stellulata,,,
Brevitrygon_imbricata,Himantura_imbricata,Brevitrygon imbricata,,,
Brevitrygon_walga,Himantura_walga,Brevitrygon walga,,,
Dentiraja_australis,Dipturus_australis,Dentiraja australis,,,
Dentiraja_cerva,Dipturus_cerva,Dentiraja cerva,,,
Dentiraja_confusa,Dipturus_confusus,Dentiraja confusa,,,
Dentiraja_healdi,Dipturus_healdi,Dentiraja healdi,,,
Dipturus_macrocaudus,Dipturus_macrocauda,Dipturus macrocaudus,,,
Dipturus_pullopunctatus,Dipturus_pullopunctata,Dipturus pullopunctatus,,,
Fluvitrygon_oxyrhynchus,Himantura_oxyrhyncha,Fluvitrygon oxyrhynchus,,,
Fluvitrygon_signifer,Himantura_signifer,Fluvitrygon signifer,,,
Fontitrygon_margarita,Dasyatis_margarita,Fontitrygon margarita,,,
Fontitrygon_margaritella,Dasyatis_margaritella,Fontitrygon margaritella,,,
Hemitrygon_akajei,Dasyatis_akajei,Hemitrygon akajei,,,
Hemitrygon_bennetti,Dasyatis_bennetti,Hemitrygon bennetti,,,
Hemitrygon_fluviorum,Dasyatis_fluviorum,Hemitrygon fluviorum,,,
Hemitrygon_izuensis,Dasyatis_izuensis,Hemitrygon izuensis,,,
Hemitrygon_laevigata,Dasyatis_laevigata,Hemitrygon laevigata,,,
Hemitrygon_laosensis,Dasyatis_laosensis,Hemitrygon laosensis,,,
Hemitrygon_navarrae,Dasyatis_navarrae,Hemitrygon navarrae,,,
Hemitrygon_parvonigra,Dasyatis_parvonigra,Hemitrygon parvonigra,,,
Hypanus_americanus,Dasyatis_americana,Hypanus americanus,,,
Hypanus_dipterurus,Dasyatis_dipterura,Hypanus dipterurus,,,
Hypanus_longus,Dasyatis_longa,Hypanus longus,,,
Hypanus_sabinus,Dasyatis_sabina,Hypanus sabinus,,,
Hypanus_say,Dasyatis_say,Hypanus say,,,
Maculabatis_astra,Himantura_astra,Maculabatis astra,,,
Maculabatis_gerrardi,Himantura_gerrardi,Maculabatis gerrardi ,,,
Maculabatis_pastinacoides,Himantura_pastinacoides,Maculabatis pastinacoides,,,
Maculabatis_toshi,Himantura_toshi,Maculabatis toshi,,,
Megatrygon_microps,Dasyatis_microps,Megatrygon microps,,,
Mobula_alfredi,Manta_alfredi,Mobula alfredi,,,
Mobula_birostris,Manta_birostris,Mobula birostris,,,
Mobula_mobular,Mobula_japanica,Mobula mobular,,,
Myliobaits_tenuicaudatus,Myliobatis_australis,Myliobaits tenuicaudatus,,,
Narcinops_lasti,Narcine_lasti,Narcinops lasti,,,
Narcinops_tasmaniensis,Narcine_tasmaniensis,Narcinops tasmaniensis,,,
Narcinops_westraliensis,Narcine_westraliensis,Narcinops westraliensis,,,
Orbiraja_jensenae,Okamejei_jensenae,Orbiraja jensenae,,,
Pastinachus_ater,Pastinachus_atrus,Pastinachus ater,,,
Pateobatis_fai,Himantura_fai,Pateobatis fai,,,
Pateobatis_hortlei,Himantura_hortlei,Pateobatis hortlei,,,
Pateobatis_jenkinsii,Himantura_jenkinsii,Pateobatis jenkinsii,,,
Pateobatis_uarnacoides,Himantura_uarnacoides,Pateobatis uarnacoides,,,
Potamotrygon_histrix,Potamotrygon_hystrix,Potamotrygon_hystrix,,,
Pseudobatos_glaucostigmus,Rhinobatos_glaucostigma,Pseudobatos glaucostigmus,,,
Pseudobatos_horkelii,Rhinobatos_horkelii,Pseudobatos horkelii,,,
Pseudobatos_lentiginosus,Rhinobatos_lentiginosus,Pseudobatos lentiginosus,,,
Pseudobatos_percellens,Rhinobatos_percellens,Pseudobatos percellens,,,
Pseudobatos_productus,Rhinobatos_productus,Pseudobatos productus,,,
Rajella_leoparda,Rajella_leopardus,Rajella leoparda,,,
Rostroraja_velezi,Raja_velezi,Rostroraja velezi,,,
Scymnodon_macracanthus,Proscymnodon_plunketi,Scymnodon macracanthus,,,
Stryacura_pacifica,Himantura_pacifica,Styracura pacifica in the family Potamotrygonidae,,,
Stryacura_schmardae,Himantura_schmardae,Styracura schmardae in the family Potamotrygonidae,,,
Taeniurops_grabatus,Taeniurops_grabata,Taeniurops grabatus,,,
Telatrygon_zugei,Dasyatis_zugei,Telatrygon zugei,,,
Tetronarce_californica,Torpedo_californica,Tetronarce californica,,,
Tetronarce_nobiliana,Torpedo_nobiliana,Tetronarce nobiliana ,,,
Tetronarce_tokionsis,Torpedo_tokionis,Tetronarce tokionsis,,,
Urogymnus_dalyensis,Himantura_dalyensis,Urogymnus dalyensis,,,
Urogymnus_granulatus,Himantura_granulata,Urogymnus granulatus,,,
Urogymnus_lobistoma,Himantura_lobistoma,Urogymnus lobistoma,,,
Urogymnus_polylepis,Himantura_polylepis,Urogymnus polylepis,,,
