,,,Mark Recapture,Acoustic Tagging (n),,,,,Satellite
subclass,order,Species.ID,,IMOS,Wenlock-ATT,OTN,SAIAB,Caribbean,
batoids,Myliobatiformes,Aetomylaeus_bovinus,,,,,8,,
batoids,Myliobatiformes,Dasyatis_brevicaudata,,7,,,,,
batoids,Myliobatiformes,Dasyatis_chrysonata,,,,,2,,
batoids,Myliobatiformes,Dasyatis_fluviorum,,14,,,,,
batoids,Myliobatiformes,Gymnura_natalensis,,,,,5,,
batoids,Myliobatiformes,Himantura_astra,,2,,,,,
batoids,Myliobatiformes,Himantura_fai,,4,,,,,
batoids,Myliobatiformes,Himantura_jenkinsii,,5,,,,,
batoids,Myliobatiformes,Himantura_uarnak,,8,,,,,
batoids,Myliobatiformes,Manta_alfredi,,73,,,,,
batoids,Myliobatiformes,Myliobatis_australis,,14,,,,,
batoids,Myliobatiformes,Pastinachus_atrus,,20,,,,,
batoids,Myliobatiformes,Taeniura_lymma,,4,,,,,
batoids,Myliobatiformes,Trygonoptera_testacea,,9,,,,,
batoids,Myliobatiformes,Urogymnus_asperrimus,,5,,,,,
batoids,Myliobatiformes,Urogymnus_dalyensis,,,10,,,,
batoids,Rhinopristiformes,Glaucostegus_typus,,25,,,,,
batoids,Rhinopristiformes,Anoxypristis_cuspidata,,,6,,,,
batoids,Rhinopristiformes,Pristis_pristis,,,3,,,,
chimaeras,Chimaeriformes,Callorhinchus_milii,,10,,,,,
sharks,Carcharhiniformes,Carcharhinus_albimarginatus,,34,,,,,
sharks,Carcharhiniformes,Carcharhinus_amblyrhynchos,,179,,,,,
sharks,Carcharhiniformes,Carcharhinus_amboinensis,,3,,,,,
sharks,Carcharhiniformes,Carcharhinus_brachyurus,,42,,,21,,
sharks,Carcharhiniformes,Carcharhinus_cautus,,11,,,,,
sharks,Carcharhiniformes,Carcharhinus_fitzroyensis,,2,,,,,
sharks,Carcharhiniformes,Carcharhinus_leucas,,111,33,,3,,
sharks,Carcharhiniformes,Carcharhinus_limbatus,,6,,,,,
sharks,Carcharhiniformes,Carcharhinus_melanopterus,,169,,,,,
sharks,Carcharhiniformes,Carcharhinus_obscurus,,86,,,,,
sharks,Carcharhiniformes,Carcharhinus_plumbeus,,77,,,,,
sharks,Carcharhiniformes,Carcharhinus_tilstoni,,5,,,,,
sharks,Carcharhiniformes,Cephaloscyllium_laticeps,,41,,,,,
sharks,Carcharhiniformes,Galeocerdo_cuvier,,37,,,,,
sharks,Carcharhiniformes,Galeorhinus_galeus,,18,,,,,
sharks,Carcharhiniformes,Glyphis_glyphis,,14,31,,,,
sharks,Carcharhiniformes,Hemigaleus_australiensis,,6,,,,,
sharks,Carcharhiniformes,Loxodon_macrorhinus,,6,,,,,
sharks,Carcharhiniformes,Mustelus_antarcticus,,66,,,,,
sharks,Carcharhiniformes,Negaprion_acutidens,,58,,,,,
sharks,Carcharhiniformes,Prionace_glauca,,,,66,,,
sharks,Carcharhiniformes,Rhizoprionodon_taylori,,9,,,,,
sharks,Carcharhiniformes,Sphyrna_mokarran,,4,,,,,
sharks,Carcharhiniformes,Sphyrna_zygaena,,,,,2,,
sharks,Carcharhiniformes,Triaenodon_obesus,,19,,,,,
sharks,Heterodontiformes,Heterodontus_portusjacksoni,,99,,,,,
sharks,Hexanchiformes,Notorynchus_cepedianus,,44,,,,,
sharks,Lamniformes,Carcharodon_carcharias,,42,,,,,
sharks,Orectolobiformes,Brachaelurus_waddi,,9,,,,,
sharks,Orectolobiformes,Orectolobus_maculatus,,32,,,,,
sharks,Orectolobiformes,Rhincodon_typus,,11,,,,,
sharks,Orectolobiformes,Stegostoma_fasciatum,,11,,,,,
sharks,Squaliformes,Squalus_acanthias,,6,,,,,
