G.species,subclass,species,habitat,Trophic.group,mcp,bbk50,bbk90,dis_max,lifestyle,max.size
Dasyatis_akajei,batoids,Dasyatis_akajei,Shelf,live-bearing,,,,,benthic,100
Dasyatis_americana,batoids,Dasyatis_americana,Shelf,live-bearing,,,,,benthic,100
Dasyatis_bennetti,batoids,Dasyatis_bennetti,Shelf,live-bearing,,,,,benthic,100
Dasyatis_brevicaudata,batoids,Dasyatis_brevicaudata,Deep,live-bearing,,,,762.0987451,benthic,100
Dasyatis_centroura,batoids,Dasyatis_centroura,Shelf,live-bearing,,,,,benthic,100
Dasyatis_chrysonota,batoids,Dasyatis_chrysonota,Shelf,live-bearing,,,,,benthic,100
Dasyatis_dipterura,batoids,Dasyatis_dipterura,Shelf,live-bearing,,,,,benthic,100
Dasyatis_fluviorum,batoids,Dasyatis_fluviorum,Shelf,live-bearing,17087722.95,3129998.091,18743219.23,5.583079434,benthic,100
Dasyatis_izuensis,batoids,Dasyatis_izuensis,Shelf,live-bearing,,,,,benthic,100
Dasyatis_laevigata,batoids,Dasyatis_laevigata,Shelf,live-bearing,,,,,benthic,100
Dasyatis_laosensis,batoids,Dasyatis_laosensis,Freshwater,live-bearing,,,,,benthic,100
Dasyatis_lata,batoids,Dasyatis_lata,Shelf,live-bearing,,,,,benthic,100
Dasyatis_longa,batoids,Dasyatis_longa,Shelf,live-bearing,,,,,benthic,100
Dasyatis_margarita,batoids,Dasyatis_margarita,Shelf,live-bearing,,,,,benthic,100
Dasyatis_margaritella,batoids,Dasyatis_margaritella,Shelf,live-bearing,,,,,benthic,100
Dasyatis_matsubarai,batoids,Dasyatis_matsubarai,Shelf,live-bearing,,,,,benthic,100
Dasyatis_microps,batoids,Dasyatis_microps,Shelf,live-bearing,,,,,benthic,100
Dasyatis_navarrae,batoids,Dasyatis_navarrae,Shelf,live-bearing,,,,,benthic,100
Dasyatis_parvonigra,batoids,Dasyatis_parvonigra,Shelf,live-bearing,,,,,benthic,100
Dasyatis_pastinaca,batoids,Dasyatis_pastinaca,Shelf,live-bearing,,,,,benthic,100
Dasyatis_sabina,batoids,Dasyatis_sabina,Shelf,live-bearing,,,,,benthic,100
Dasyatis_say,batoids,Dasyatis_say,Shelf,live-bearing,,,,,benthic,100
Dasyatis_thetidis,batoids,Dasyatis_thetidis,Shelf,live-bearing,,,,,benthic,100
Dasyatis_ushiei,batoids,Dasyatis_ushiei,Shelf,live-bearing,,,,,benthic,100
Dasyatis_zugei,batoids,Dasyatis_zugei,Shelf,live-bearing,,,,,benthic,100
Himantura_astra,batoids,Himantura_astra,Shelf,live-bearing,45843.66455,63331.78801,304395.2773,1.510991662,benthic,100
Himantura_fai,batoids,Himantura_fai,Shelf,live-bearing,2827324.746,16621069.48,59958150.68,5.070095156,benthic,100
Himantura_gerrardi,batoids,Himantura_gerrardi,Shelf,live-bearing,,,,,benthic,100
Himantura_granulata,batoids,Himantura_granulata,Shelf,live-bearing,,,,,benthic,100
Himantura_hortlei,batoids,Himantura_hortlei,Shelf,live-bearing,,,,,benthic,100
Himantura_imbricata,batoids,Himantura_imbricata,Shelf,live-bearing,,,,,benthic,100
Himantura_jenkinsii,batoids,Himantura_jenkinsii,Shelf,live-bearing,20783025.76,1180054.934,11564416.9,131.6946037,benthic,100
Himantura_leoparda,batoids,Himantura_leoparda,Shelf,live-bearing,,,,,benthic,100
Himantura_lobistoma,batoids,Himantura_lobistoma,Shelf,live-bearing,,,,,benthic,100
Himantura_oxyrhyncha,batoids,Himantura_oxyrhyncha,Freshwater,live-bearing,,,,,benthic,100
Himantura_pacifica,batoids,Himantura_pacifica,Shelf,live-bearing,,,,,benthic,100
Himantura_pastinacoides,batoids,Himantura_pastinacoides,Shelf,live-bearing,,,,,benthic,100
Himantura_polylepis,batoids,Himantura_polylepis,Freshwater,live-bearing,,,,,benthic,100
Himantura_schmardae,batoids,Himantura_schmardae,Shelf,live-bearing,,,,,benthic,100
Himantura_signifer,batoids,Himantura_signifer,Freshwater,live-bearing,,,,,benthic,100
Himantura_toshi,batoids,Himantura_toshi,Shelf,live-bearing,,,,,benthic,100
Himantura_uarnacoides,batoids,Himantura_uarnacoides,Shelf,live-bearing,,,,,benthic,100
Himantura_uarnak,batoids,Himantura_uarnak,Shelf,live-bearing,984204.4542,307719.4682,1607388.593,130.492164,benthic,100
Himantura_undulata,batoids,Himantura_undulata,Shelf,live-bearing,,,,,benthic,100
Himantura_walga,batoids,Himantura_walga,Shelf,live-bearing,,,,,benthic,100
Neotrygon_annotata,batoids,Neotrygon_annotata,Shelf,live-bearing,,,,,benthic,100
Neotrygon_kuhlii,batoids,Neotrygon_kuhlii,Shelf,live-bearing,,,,,benthic,100
Neotrygon_leylandi,batoids,Neotrygon_leylandi,Shelf,live-bearing,,,,,benthic,100
