G.species,ecomorpho.compagno,ecomorphotype
Alopias_vulpinus,littoral,littoral
Brachaelurus_waddi,probenthic,probenthic
Callorhinchus_milii,chimaerobenthic,chimaerobenthic
Carcharhinus_acronotus,littoral,littoral
Carcharhinus_albimarginatus,littoral,littoral
Carcharhinus_amblyrhynchoides,littoral,littoral
Carcharhinus_amblyrhynchos,littoral,littoral
Carcharhinus_amboinensis,littoral,littoral
Carcharhinus_brachyurus,littoral,littoral
Carcharhinus_brevipinna,littoral,littoral
Carcharhinus_cautus,littoral,littoral
Carcharhinus_dussumieri,littoral,littoral
Carcharhinus_falciformis,macrooceanic,macrooceanic
Carcharhinus_fitzroyensis,littoral,littoral
Carcharhinus_galapagensis,littoral,littoral
Carcharhinus_leucas,littoral eurytrophic,littoral eurytrophic
Carcharhinus_limbatus,littoral,littoral
Carcharhinus_longimanus,macrooceanic,macrooceanic
Carcharhinus_macloti,littoral,littoral
Carcharhinus_melanopterus,littoral,littoral
Carcharhinus_obscurus,littoral,littoral
Carcharhinus_plumbeus,littoral,littoral
Carcharhinus_sorrah,littoral,littoral
Carcharhinus_tilstoni,littoral,littoral
Carcharias_taurus,littoral,littoral
Carcharodon_carcharias,archipelagic,macrooceanic
Cephaloscyllium_laticeps,leptobenthic,leptobenthic
Cetorhinus_maximus,microtrophic,microtrophic
Dasyatis_brevicaudata,rajobenthic,rajobenthic
Dasyatis_fluviorum,rajobenthic,rajobenthic
Furgaleus_macki,littoral teuthytrophic,littoral teuthytrophic
Galeocerdo_cuvier,littoral eurytrophic,littoral eurytrophic
Galeorhinus_galeus,littoral,littoral
Ginglymostoma_cirratum,littoral cancitrophic,littoral cancitrophic
Glaucostegus_typus,rhinobenthic,rhinobenthic
Glyphis_glyphis,littoral,littoral
Hemigaleus_australiensis,littoral teuthytrophic,littoral teuthytrophic
Heterodontus_portusjacksoni,probenthic,probenthic
Himantura_astra,rajobenthic,rajobenthic
Himantura_fai,rajobenthic,rajobenthic
Himantura_jenkinsii,rajobenthic,rajobenthic
Himantura_uarnak,rajobenthic,rajobenthic
Isurus_oxyrinchus,tachypelagic,macrooceanic
Lamna_ditropis,tachypelagic,macrooceanic
Lamna_nasus,tachypelagic,macrooceanic
Loxodon_macrorhinus,littoral,littoral
Manta_alfredi,aquliobenthic,microtrophic
Manta_birostris,aquilobenthic,microtrophic
Mobual_spp.,aquilobenthic,microtrophic
Mustelus_antarcticus,littoral cancitrophic,littoral cancrtrophic
Myliobatis_australis,aquilobenthic,aquilobenthic
Nebrius_ferrugineus,littoral cancitrophic,littoral cancitrophic
Negaprion_acutidens,littoral,littoral
Negaprion_brevirostris,littoral,littoral
Notorynchus_cepedianus,littoral eurytrophic,littoral eurytrophic
Orectolobus_maculatus,squatinobenthic,squatinobenthic
Pastinachus_atrus,rajobenthic,rajobenthic
Prionace_glauca,macrooceanic,macrooceanic
Pristiophorus_delicatus,rhinobenthic,rhinobenthic
Pristiophorus_nudipinnis,rhinobenthic,rhinobenthic
Rhincodon_typus,microtrophic,microtrophic
Rhizoprionodon_acutus,littoral,littoral
Rhizoprionodon_taylori,littoral,littoral
Rhizoprionodon_terraenovae,littoral,littoral
Somniosus_microcephalus,bathic,bathic
Eusphyra blochii,littoral,littoral
Sphyrna_lewini,littoral,littoral
Sphyrna_mokarran,littoral,littoral
Sphyrna_tiburo,littoral,littoral
Squalus_acanthias,littoral,littoral
Squalus_megalops,littoral,littoral
Stegostoma_fasciatum,littoral cancitrophic,littoral cancitrophic
Taeniura_lymma,rajobenthic,rajobenthic
Triaenodon_obesus,littoral,littoral
Trygonoptera_testacea,rajobenthic,rajobenthic
Trygonorrhina_fasciata,rajobenthic,rajobenthic
Urogymnus_asperrimus,rajobenthic,rajobenthic
